Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
20,13,49,55,DAKSHIN KALOCHO
20,13,49,60,PACHIM HATILA
20,13,49,65,HATILA PURBA
20,13,49,70,UTTAR RAJARGAON
20,13,49,75,BAKILA
20,13,58,,KACHUA
20,13,58,13,ASHRAFPUR
20,13,58,15,BITARA
20,13,58,23,UTTAR GOHAT
20,13,58,31,DAKSHIN GOHAT
20,13,58,39,UTTAR KACHUA
20,13,58,47,DAKSHIN KACHUA
20,13,58,55,KADLA
20,13,58,63,KARAIA
20,13,58,71,SACHAR
20,13,58,79,PATHAIR
20,13,58,87,PURBA SAHADEBPUR
20,13,58,94,PASCHIM SAHADEBPUR
20,13,76,,MATLAB DAKSHIN
20,13,76,34,KHADERGAON
20,13,76,43,NARAYANPUR
20,13,76,56,UTTAR NAYERGAON
20,13,76,60,UTTAR UPADI
20,13,76,82,DAKHSIN NAYERGAON
20,13,76,86,DAKSHIN UPADI
20,13,79,,MATLAB UTTAR
20,13,79,11,BAGANBARI
20,13,79,13,FARAJIKANDI
20,13,79,15,DURGAPUR
20,13,79,17,PURBA FATEHPUR
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
20,13,79,21,EKLASPUR
20,13,79,23,GAJRA
20,13,79,25,ISLAMABAD
20,13,79,30,JAHIRABAD
20,13,79,32,KALAKANDA
20,13,79,38,MOHANPUR
20,13,79,64,SADULLAPUR
20,13,79,73,SATNAL
20,13,79,90,SULTANABAD
20,13,79,94,PASCHIM FATEHPUR
20,13,95,,SHAHRASTI
20,13,95,15,EAST CHITASI
20,13,95,20,WEST CHITASI
20,13,95,60,UTTAR MEHER
20,13,95,65,DAKSHIN MEHER
20,13,95,80,UTTAR ROYSREE
20,13,95,82,DAKSHIN ROYSREE
20,13,95,85,UTTAR SUCHI PARA
20,13,95,90,DAKSHIN SUCHI PARA
20,13,95,95,TAMTA DAKSHIN
20,13,95,96,TAMTA UTTAR
20,15,,,CHITTAGONG
20,15,4,,ANOWARA
20,15,4,15,ANOWARA
20,15,4,19,BAIRAG (PART)
20,15,4,19,BAIRAG (PART)
20,15,4,28,BARAKHAIN
20,15,4,38,BARASAT
20,15,4,47,BURUMCHHARA
20,15,4,57,BATTALI
20,15,4,66,CHATARI
20,15,4,76,HAILDHAR
20,15,4,81,JUIDANDI
Unions list of Bangladesh (as on 25-06-2014),,,,
