,thana,District,Division,program
0,Tala,0210,02(1),thana_process
1,Satkhira,0210,02(1),thana_process
2,Kolaroa,0210,02(1),thana_process
3,Debhata,0210,02(1),thana_process
4,Shyamnagar,0210,02(1),thana_process
5,Kaliganj,0210,02(1),thana_process
6,Asasuni,0210,02(1),thana_process
0,Bochaganj,0101,07(1),thana_process
1,Kaharole,0101,07(1),thana_process
2,Fulbari,0101,07(1),thana_process
3,Khanshama,0101,07(1),thana_process
4,Dinajpur,0101,07(1),thana_process
5,Hakimpur,0101,07(1),thana_process
6,Birganj,0101,07(1),thana_process
7,Ghoraghat,0101,07(1),thana_process
8,Birol,0101,07(1),thana_process
9,Chirir,0101,07(1),thana_process
10,Parbatipur,0101,07(1),thana_process
11,Nawabganj,0101,07(1),thana_process
12,Birampur,0101,07(1),thana_process
0,Parshuram,0504,05(1),thana_process
1,Chhagalnaiya,0504,05(1),thana_process
2,Feni,0504,05(1),thana_process
3,Sonagazi,0504,05(1),thana_process
4,Dagonbhuiyan,0504,05(1),thana_process
5,Fulgazi,0504,05(1),thana_process
0,Faridpur,0404,04(1),thana_process
