ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
94,82.0,XX.0,XXX,XX,02,  Pirganj Upazila,27700,9.1,11.4,11.6,10.1,8.6,9.1,27.1,6.7,2.6,3.7,00110
94,86.0,XX.0,XXX,XX,02,  Ranisankail Upazila,17762,9.5,11.5,13.0,11.0,8.4,8.9,26.2,5.7,2.1,3.8,00110
94,94.0,XX.0,XXX,XX,02,  Thakurgaon Sadar Upazila,80589,8.7,10.1,11.2,10.8,10.4,9.8,27.3,6.1,2.2,3.4,00110
27,XX.0,XX.0,XXX,XX,02, Dinajpur Zila,393920,8.4,9.9,10.9,10.3,10.3,9.7,27.1,6.8,2.4,4.0,00110
27,10.0,XX.0,XXX,XX,02,  Birampur Upazila,45334,8.8,10.7,10.7,9.5,8.7,9.7,27.7,6.9,2.7,4.5,00110
27,10.0,XX.0,XXX,XX,02,  Birampur Paurashava,45334,8.8,10.7,10.7,9.5,8.7,9.7,27.7,6.9,2.7,4.5,00110
27,12.0,XX.0,XXX,XX,02,  Birganj Upazila,19467,9.5,10.6,12.1,10.9,8.4,9.3,27.4,5.9,2.1,3.8,00110
27,12.0,XX.0,XXX,XX,02,  Birganj  Paurashava,19467,9.5,10.6,12.1,10.9,8.4,9.3,27.4,5.9,2.1,3.8,00110
27,21.0,XX.0,XXX,XX,02,  Bochaganj Upazila,27335,9.2,10.4,10.9,9.4,8.7,9.9,28.2,6.8,2.4,4.2,00110
27,38.0,XX.0,XXX,XX,02,  Fulbari Upazila,34786,8.7,10.4,9.9,10.3,8.5,9.9,27.5,7.2,2.7,4.9,00110
27,43.0,XX.0,XXX,XX,02,  Ghoraghat Upazila,22717,9.7,12.5,12.0,8.2,8.6,9.3,25.5,6.8,2.6,4.6,00110
27,47.0,XX.0,XXX,XX,02,  Hakimpur Upazila,28411,9.0,10.6,12.4,9.1,8.9,10.2,26.7,6.7,2.5,3.7,00110
27,64.0,XX.0,XXX,XX,02,  Dinajpur Sadar Upazila,186727,7.7,9.0,10.7,11.1,12.1,9.8,26.8,6.8,2.3,3.7,00110
27,77.0,XX.0,XXX,XX,02,  Parbatipur Upazila,29143,8.6,10.2,11.2,9.7,8.9,9.3,28.5,7.4,2.6,3.6,00110
10,XX.0,XX.0,XXX,XX,02, Bogra Zila,624082,8.4,9.9,10.3,9.9,10.8,10.4,27.7,6.4,2.3,3.7,00110
10,6.0,XX.0,XXX,XX,02,  Adamdighi Upazila,31037,8.7,8.9,9.6,9.7,9.5,10.0,28.5,7.5,2.7,4.7,00110
10,6.0,XX.0,XXX,XX,02,  Santahar Paurashava,31037,8.7,8.9,9.6,9.7,9.5,10.0,28.5,7.5,2.7,4.7,00110
10,20.0,XX.0,XXX,XX,02,  Bogra Sadar Upazila,350397,8.0,9.6,10.5,10.7,11.5,10.3,27.3,6.4,2.2,3.4,00110
10,20.0,XX.0,XXX,XX,02,Bogra  Paurashava,350397,8.0,9.6,10.5,10.7,11.5,10.3,27.3,6.4,2.2,3.4,00110
10,27.0,XX.0,XXX,XX,02,  Dhunat Upazila,14206,9.4,11.7,11.1,7.9,7.7,9.3,28.9,6.6,2.5,4.7,00110
10,27.0,XX.0,XXX,XX,02,Dhunat Paurashava,14206,9.4,11.7,11.1,7.9,7.7,9.3,28.9,6.6,2.5,4.7,00110
10,33.0,XX.0,XXX,XX,02,  Dhupchanchia Upazila,22406,9.0,10.2,10.0,8.6,9.4,10.8,29.4,6.2,2.4,4.0,00110
10,33.0,XX.0,XXX,XX,02,Dhupchanchia  Paurashava,22406,9.0,10.2,10.0,8.6,9.4,10.8,29.4,6.2,2.4,4.0,00110
10,40.0,XX.0,XXX,XX,02,  Gabtali Upazila,21455,10.0,10.7,9.7,8.7,9.0,9.8,26.2,7.4,3.1,5.6,00110
10,40.0,XX.0,XXX,XX,02,Gabtali Paurashava,21455,10.0,10.7,9.7,8.7,9.0,9.8,26.2,7.4,3.1,5.6,00110
10,54.0,XX.0,XXX,XX,02,  Kahaloo Upazila,13887,9.3,10.4,9.9,8.7,10.0,11.3,26.8,6.7,2.4,4.4,00110
10,54.0,XX.0,XXX,XX,02,Kahaloo Paurashava,13887,9.3,10.4,9.9,8.7,10.0,11.3,26.8,6.7,2.4,4.4,00110
10,67.0,XX.0,XXX,XX,02,  Nandigram Upazila,18496,8.7,11.3,11.0,9.1,10.2,10.8,27.7,5.8,2.2,3.3,00110
10,67.0,XX.0,XXX,XX,02,Nandigram Paurashava,18496,8.7,11.3,11.0,9.1,10.2,10.8,27.7,5.8,2.2,3.3,00110
10,81.0,XX.0,XXX,XX,02,  Sariakandi Upazila,18543,10.3,11.4,11.3,8.3,8.8,9.6,26.2,7.0,2.6,4.4,00110
10,81.0,XX.0,XXX,XX,02,Sariakandi  Paurashava,18543,10.3,11.4,11.3,8.3,8.8,9.6,26.2,7.0,2.6,4.4,00110
