ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
81,82,81,XXX,XX,01,  Silmaria Union,68,80,854,831,1529,1430,361,282,1282,1233,195,94,00110
64,03,10,XXX,XX,01,  Ahsanganj Union,54,41,655,601,1006,961,322,282,759,661,154,75,00110
64,03,21,XXX,XX,01,  Bhopara Union,35,21,654,581,925,875,242,210,657,670,146,109,00110
64,03,73,XXX,XX,01,  Panchupur Union,26,20,612,661,970,846,371,279,736,739,174,90,00110
64,06,21,XXX,XX,01,  Badalgachhi Union,53,55,593,607,952,906,283,222,754,742,163,77,00110
64,28,63,XXX,XX,01,  Jahanpur Union,88,89,636,632,898,982,361,271,718,721,154,66,00110
64,47,54,XXX,XX,01,  Kusumba Union,49,50,849,797,1364,1204,387,363,1089,1008,179,90,00110
64,47,67,XXX,XX,01,  Manda Union,69,72,660,634,1118,1070,275,231,794,755,165,68,00110
64,47,88,XXX,XX,01,  Prasadpur Union,64,49,607,573,833,802,347,316,694,570,140,64,00110
64,50,57,XXX,XX,01,  Khajur Union,117,114,680,680,1261,1218,343,271,763,832,220,99,00110
64,50,66,XXX,XX,01,  Mahadebpur Union,77,84,687,712,1125,1012,289,279,770,791,181,83,00110
64,69,52,XXX,XX,01,  Niamatpur Union,60,79,686,612,1061,1026,303,247,601,683,227,153,00110
64,79,55,XXX,XX,01,  Nithpur Union,25,37,893,827,1054,1117,588,393,580,849,507,146,00110
64,85,84,XXX,XX,01,  Raninagar Union,26,24,574,488,692,736,284,248,492,596,161,100,00110
64,86,71,XXX,XX,01,  Sapahar Union,62,59,434,425,707,661,225,163,564,607,154,52,00110
64,86,79,XXX,XX,01,  Shiranti Union,146,151,794,738,1348,1290,364,295,955,993,344,129,00110
70,18,18,XXX,XX,01,  Bholahat Union,22,29,582,539,672,674,393,279,464,570,248,103,00110
70,37,42,XXX,XX,01,  Chowdala Union,35,33,867,793,1106,1191,416,350,727,958,368,132,00110
70,37,52,XXX,XX,01,  Gomastapur Union,52,66,911,862,1277,1305,399,297,998,1174,415,156,00110
