ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
47,75.0,13.0,XXX,XX,XX,  Aijganti Union Total,44318,8.9,10.4,11.5,9.5,10.2,9.7,26.5,6.3,2.6,4.3,00111
47,75.0,27.0,XXX,XX,XX,  Ghatbhogh Union Total,33786,8.9,11.4,12.4,9.3,8.6,8.9,24.4,6.8,2.9,6.3,00111
47,75.0,54.0,XXX,XX,XX,  Naihati Union Total,58299,8.8,10.8,11.5,9.4,9.8,10.3,26.6,6.0,2.3,4.4,00111
47,75.0,67.0,XXX,XX,XX,  Sreefaltala Union Total,25242,9.8,10.9,11.9,9.3,9.8,10.3,24.1,6.4,3.2,4.2,00111
47,75.0,81.0,XXX,XX,XX,  T. S. Bahirdia Union Total,17874,9.0,10.2,10.7,9.1,9.4,9.5,26.1,7.0,2.8,6.2,00111
47,85.0,XX.0,XXX,XX,XX,Sonadanga Thana Total,167739,8.0,9.5,10.9,10.0,10.8,10.3,27.7,6.6,2.5,3.9,00111
47,85.0,16.0,XXX,XX,XX,  Ward No-16 Total,29213,7.6,9.3,10.7,11.0,12.2,10.1,26.8,6.4,2.3,3.6,00111
47,85.0,17.0,XXX,XX,XX,  Ward No-17 Total,33163,8.0,9.4,10.7,9.7,10.6,10.1,28.0,6.7,2.7,4.0,00111
47,85.0,18.0,XXX,XX,XX,  Ward No-18 Total,27896,8.4,10.8,11.7,10.8,10.3,10.1,26.1,6.0,2.3,3.4,00111
47,85.0,19.0,XXX,XX,XX,  Ward No-19 Total,18558,7.7,9.3,10.5,9.6,10.5,10.1,28.4,6.9,2.6,4.4,00111
