ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
50,39.0,33.0,XXX,XX,01,  Daulatpur Union,28808,9.5,11.0,10.4,7.8,9.3,9.9,26.8,7.0,3.1,5.1,00110
50,39.0,61.0,XXX,XX,01,  Mathurapur Union,27867,8.8,11.8,11.4,8.7,9.0,9.2,26.5,6.9,2.9,4.8,00110
50,63.0,XX.0,XXX,XX,01,  Khoksa Upazila,107361,9.9,12.5,11.2,7.6,8.2,9.4,25.1,7.2,3.1,5.9,00110
50,63.0,71.0,XXX,XX,01,  Samaspur Union,8508,10.6,12.7,11.1,7.4,8.1,9.7,24.4,7.5,3.1,5.5,00110
50,71.0,XX.0,XXX,XX,01,  Kumarkhali Upazila,306543,9.8,12.0,11.4,8.1,8.4,9.3,25.5,6.9,3.2,5.5,00110
50,79.0,XX.0,XXX,XX,01,  Kushtia Sadar Upazila,393832,9.0,10.8,10.6,8.0,8.9,10.0,27.5,7.2,3.0,5.1,00110
50,79.0,50.0,XXX,XX,01,  Battail Union,40215,9.2,11.0,10.7,8.2,9.2,10.3,27.3,6.6,2.9,4.6,00110
50,94.0,XX.0,XXX,XX,01,  Mirpur Upazila,297313,8.9,10.7,10.1,7.7,8.9,10.2,28.1,7.0,3.1,5.2,00110
50,94.0,14.0,XXX,XX,01,  Amla Union,23583,8.4,10.8,9.7,7.3,8.5,10.5,28.9,6.9,3.2,5.7,00110
50,94.0,80.0,XXX,XX,01,  Poradaha Union,33133,8.7,10.4,10.1,7.9,9.0,10.4,28.5,7.0,3.2,4.7,00110
57,XX.0,XX.0,XXX,XX,01, Meherpur Zila,571999,8.6,10.2,10.7,8.0,8.7,9.6,28.6,7.2,2.9,5.4,00110
57,47.0,XX.0,XXX,XX,01,  Gangni Upazila,269368,8.9,10.3,10.6,7.9,8.9,9.9,28.4,7.2,3.0,5.2,00110
57,47.0,10.0,XXX,XX,01,  Bamandi Union,24269,8.9,10.6,11.0,8.0,8.8,10.1,27.7,6.8,2.9,5.2,00110
57,47.0,69.0,XXX,XX,01,  Roypur Union,18433,8.6,9.9,10.4,8.0,8.5,10.1,30.2,6.9,2.6,5.0,00110
57,60.0,XX.0,XXX,XX,01,  Mujib Nagar Upazila,89122,8.5,10.3,10.8,8.1,7.9,9.3,28.8,7.3,3.0,6.0,00110
57,60.0,28.0,XXX,XX,01,  Bagoan Union,29686,8.9,10.8,11.1,7.7,7.5,9.3,29.2,7.2,2.9,5.4,00110
57,87.0,XX.0,XXX,XX,01,  Meherpur Sadar Upazila,213509,8.4,10.1,10.7,8.1,8.8,9.5,28.8,7.2,2.8,5.5,00110
87,XX.0,XX.0,XXX,XX,01, Satkhira Zila,1788343,8.6,11.0,11.0,8.8,9.1,9.2,26.4,7.1,2.9,5.8,00110
87,4.0,XX.0,XXX,XX,01,  Assasuni Upazila,260169,8.9,11.7,11.3,8.4,8.8,9.2,25.8,7.1,2.9,5.9,00110
87,4.0,17.0,XXX,XX,01,  Assasuni Union,15039,7.8,10.3,10.8,8.5,8.7,9.3,27.3,7.6,3.1,6.4,00110
87,25.0,XX.0,XXX,XX,01,  Debhata Upazila,122577,8.7,10.4,10.5,9.2,9.9,9.7,26.4,7.0,2.8,5.5,00110
87,25.0,15.0,XXX,XX,01,  Debhata Union,13255,9.2,10.5,9.9,9.3,9.1,9.4,26.0,7.3,3.2,6.1,00110
87,43.0,XX.0,XXX,XX,01,  Kalaroa Upazila,208709,8.3,10.3,11.0,9.2,9.0,9.1,27.2,7.2,2.9,5.7,00110
87,43.0,31.0,XXX,XX,01,  Helatala Union,18254,8.2,10.4,11.0,9.9,9.6,9.8,27.0,6.8,2.5,4.9,00110
87,47.0,XX.0,XXX,XX,01,  Kaliganj Upazila,258026,8.8,10.9,10.7,8.8,9.1,9.2,26.3,7.1,3.0,6.2,00110
87,47.0,13.0,XXX,XX,01,  Bhara Simla Union,20293,8.9,11.2,10.3,8.5,8.9,9.5,27.3,6.8,3.0,5.6,00110
87,47.0,55.0,XXX,XX,01,  Kushlia Union,15894,8.3,10.2,10.5,9.6,9.5,9.4,26.0,7.2,3.2,6.2,00110
87,47.0,63.0,XXX,XX,01,  Mathureshpur Union,22791,8.7,10.8,10.9,8.9,8.9,8.7,25.8,7.3,3.3,6.7,00110
87,47.0,94.0,XXX,XX,01,  Tarali Union,20205,8.3,10.3,10.1,8.7,9.2,9.8,26.9,7.6,3.0,6.0,00110
87,82.0,XX.0,XXX,XX,01,  Satkhira Sadar Upazila,347570,8.5,10.5,11.2,9.6,9.7,9.5,26.1,6.9,2.8,5.2,00110
87,86.0,XX.0,XXX,XX,01,  Shyamnagar Upazila,301000,9.4,12.0,11.7,8.7,9.0,8.9,25.0,6.7,2.7,6.0,00110
87,86.0,94.0,XXX,XX,01,  Shyamnagar Union,13975,8.9,11.4,11.7,8.6,8.2,9.0,26.1,7.3,2.6,6.2,00110
87,90.0,XX.0,XXX,XX,01,  Tala Upazila,290292,8.0,10.7,10.5,8.1,8.7,9.0,28.0,7.6,3.2,6.1,00110
87,90.0,87.0,XXX,XX,01,  Tala Union,23499,8.4,11.4,10.8,7.9,8.9,9.1,27.4,7.1,3.1,5.8,00110
42,XX.0,XX.0,XXX,XX,01, Jhalokati Zila,570666,9.4,12.7,13.2,8.6,7.1,7.2,23.7,7.5,3.6,6.9,00110
42,40.0,XX.0,XXX,XX,01,  Jhalokati Sadar Upazila,161444,8.5,11.9,12.9,8.9,7.6,7.5,24.0,7.6,3.7,7.4,00110
42,40.0,85.0,XXX,XX,01,  Ponabalia Union,15485,8.9,12.9,13.2,8.6,7.9,7.5,23.5,7.3,3.7,6.5,00110
42,43.0,XX.0,XXX,XX,01,  Kanthalia Upazila,114110,9.6,12.3,12.6,8.1,7.0,7.3,24.6,7.8,4.0,6.8,00110
42,43.0,63.0,XXX,XX,01,  Kanthalia Union,9172,9.5,12.2,11.9,8.2,6.7,7.7,23.6,8.1,4.4,7.7,00110
42,73.0,XX.0,XXX,XX,01,  Nalchity Upazila,162751,9.3,13.3,13.9,8.8,7.2,7.2,23.1,7.2,3.4,6.7,00110
42,84.0,XX.0,XXX,XX,01,  Rajapur Upazila,132361,10.2,13.5,13.5,8.4,6.7,6.8,23.2,7.3,3.5,6.9,00110
42,84.0,40.0,XXX,XX,01,  Mathbari Union,19160,10.2,13.4,13.5,8.9,7.0,7.2,22.9,7.1,3.2,6.7,00110
42,84.0,54.0,XXX,XX,01,  Rajapur Union,21429,9.9,13.6,14.0,8.2,6.5,6.6,23.7,7.1,3.4,7.1,00110
78,XX.0,XX.0,XXX,XX,01, Patuakhali Zila,1333972,10.7,13.8,12.4,7.5,7.5,8.5,23.4,7.0,3.4,5.8,00110
78,38.0,XX.0,XXX,XX,01,  Bauphal Upazila,287368,10.4,13.9,12.8,8.0,7.1,7.8,23.2,7.3,3.5,5.9,00110
78,38.0,29.0,XXX,XX,01,  Bauphal Union,19952,10.1,14.3,12.8,7.8,6.7,7.8,23.7,7.3,3.7,5.6,00110
78,38.0,35.0,XXX,XX,01,  Daspara Union,14713,10.1,14.2,13.5,7.6,7.8,8.2,22.6,6.9,3.4,5.8,00110
78,52.0,XX.0,XXX,XX,01,  Dashmina Upazila,104136,11.1,14.5,12.3,6.9,7.2,8.6,23.7,7.3,3.4,5.0,00110
78,52.0,31.0,XXX,XX,01,  Banshbaria Union,14108,11.0,13.8,12.4,6.8,7.0,8.2,24.7,7.5,3.8,4.8,00110
78,52.0,52.0,XXX,XX,01,  Dashmina Union,12286,12.3,14.7,11.8,7.0,7.6,9.6,22.2,7.1,3.0,4.8,00110
78,55.0,XX.0,XXX,XX,01,  Dumki Upazila,58455,10.4,13.4,12.9,8.1,7.3,7.2,23.3,7.6,3.6,6.2,00110
78,55.0,93.0,XXX,XX,01,  Sreerampur Union,6027,10.8,14.6,12.4,7.6,6.6,7.6,23.4,7.5,3.5,6.1,00110
78,57.0,XX.0,XXX,XX,01,  Galachipa Upazila,335601,11.4,14.3,12.2,7.1,7.8,9.2,22.7,6.5,3.2,5.6,00110
78,57.0,50.0,XXX,XX,01,  Chiknikandi Union,14195,10.5,13.5,12.4,7.3,7.3,7.4,24.5,7.4,3.3,6.3,00110
78,57.0,67.0,XXX,XX,01,  Galachipa Union,15709,11.3,14.4,11.4,7.6,8.2,10.1,22.7,6.0,3.0,5.2,00110
78,66.0,XX.0,XXX,XX,01,  Kala Para Upazila,202477,11.0,13.6,11.6,6.7,8.3,9.9,24.6,5.9,3.0,5.6,00110
78,66.0,83.0,XXX,XX,01,  Tiakhali Union,5497,10.8,13.2,11.0,5.9,7.8,10.2,25.4,6.2,3.8,5.6,00110
78,76.0,XX.0,XXX,XX,01,  Mirzaganj Upazila,99310,9.3,12.1,12.4,8.2,7.1,7.5,24.6,8.1,4.0,6.7,00110
78,76.0,13.0,XXX,XX,01,  Amragachhia Union,19771,9.8,12.3,12.4,8.4,6.1,7.1,25.0,8.1,4.1,6.8,00110
78,76.0,27.0,XXX,XX,01,  Deuli Subidkhali Union,10588,8.8,12.0,12.4,8.3,7.7,7.9,24.0,8.1,4.1,6.5,00110
