ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
44,14,21,XXX,XX,XX,  Chandpur Union Total,8366,6486,27651,27651,00111
44,14,31,XXX,XX,XX,Daulatpur Union Total,6765,6021,23830,23826,00111
44,14,42,XXX,XX,XX,  Phalsi Union Total,3275,2977,12213,12213,00111
44,14,52,XXX,XX,XX,  Joradaha Union Total,3505,3730,14202,14202,00111
44,14,63,XXX,XX,XX,  Kapashati Union Total,9090,6016,24526,24525,00111
44,14,73,XXX,XX,XX,  Raghunathpur Union Total,7233,5990,25332,25329,00111
44,14,84,XXX,XX,XX,  Taherhuda Union Total,6316,5869,23606,23599,00111
44,19,01,XXX,XX,XX,  Ward No-01 Total,0,2874,12390,12390,00111
44,19,02,XXX,XX,XX,  Ward No-02 Total,0,2664,11026,11023,00111
44,19,03,XXX,XX,XX,  Ward No-03 Total,0,1972,8547,8547,00111
44,19,04,XXX,XX,XX,  Ward No-04 Total,0,3667,15105,15105,00111
44,19,05,XXX,XX,XX,  Ward No-05 Total,0,3552,14847,14569,00111
44,19,06,XXX,XX,XX,  Ward No-06 Total,0,2347,10148,9942,00111
44,19,07,XXX,XX,XX,  Ward No-07 Total,0,2720,12302,12302,00111
44,19,08,XXX,XX,XX,  Ward No-08 Total,0,2915,12509,12509,00111
44,19,09,XXX,XX,XX,  Ward No-09 Total,0,2575,10960,10960,00111
44,19,11,XXX,XX,XX,  Dogachhi Union Total,4502,3253,13294,13294,00111
44,19,13,XXX,XX,XX,  Fursandi Union Total,7016,4175,17770,17770,00111
44,19,15,XXX,XX,XX,  Ganna Union Total,8659,6908,28907,28907,00111
44,19,21,XXX,XX,XX,  Ghorshal Union Total,6685,4254,17974,17974,00111
44,19,26,XXX,XX,XX,  Halidhani Union Total,5014,4568,18914,18912,00111
44,19,31,XXX,XX,XX,  Harishankarpur Union Total,6666,4618,19932,19932,00111
44,19,42,XXX,XX,XX,  Kalicharanpur Union Total,4180,3663,15535,15535,00111
44,19,47,XXX,XX,XX,  Kumrabaria Union Total,6079,4938,20056,19984,00111
44,19,52,XXX,XX,XX,  Madhuhati Union Total,9127,6686,26681,26681,00111
44,19,58,XXX,XX,XX,  Moharajpur Union Total,8763,6559,26201,26201,00111
44,19,63,XXX,XX,XX,  Naldanga Union Total,8398,5644,23793,23793,00111
44,19,68,XXX,XX,XX,  Padmakar Union Total,4308,4296,18386,18386,00111
44,19,73,XXX,XX,XX,Paglakanai Union Total,3561,4513,17879,17879,00111
44,19,79,XXX,XX,XX,  Porahati Union Total,8174,5990,26408,26408,00111
44,19,84,XXX,XX,XX,  Saganna Union Total,4881,5176,21050,21050,00111
44,19,89,XXX,XX,XX,  Sadhuhati Union Total,6218,5277,22044,22044,00111
44,19,94,XXX,XX,XX,  Surat Union Total,4144,3120,13274,13274,00111
44,33,01,XXX,XX,XX,  Ward No-01 Total,0,1104,4727,4727,00111
44,33,02,XXX,XX,XX,  Ward No-02 Total,0,1216,5462,5462,00111
44,33,03,XXX,XX,XX,  Ward No-03 Total,0,1449,6245,6245,00111
44,33,04,XXX,XX,XX,  Ward No-04 Total,0,717,3145,3145,00111
44,33,05,XXX,XX,XX,  Ward No-05 Total,0,1979,8150,8150,00111
44,33,06,XXX,XX,XX,  Ward No-06 Total,0,661,2763,2763,00111
44,33,07,XXX,XX,XX,  Ward No-07 Total,0,1484,6106,6106,00111
44,33,08,XXX,XX,XX,  Ward No-08 Total,0,826,3640,3630,00111
44,33,09,XXX,XX,XX,  Ward No-09 Total,0,1201,5103,5103,00111
44,33,10,XXX,XX,XX,  Bara Bazar Union Total,8682,7548,32763,32754,00111
44,33,20,XXX,XX,XX,  Jamal Union Total,6355,4253,17422,17422,00111
44,33,33,XXX,XX,XX,  Sundarpur Durgapur Union Total,5279,4740,17907,17907,00111
44,33,40,XXX,XX,XX,  Kashtabhanga Union Total,6255,4489,20255,20251,00111
44,33,47,XXX,XX,XX,  Kola Union Total,8028,5417,22537,22537,00111
44,33,54,XXX,XX,XX,  Maliat Union Total,5770,4337,17560,17560,00111
44,33,61,XXX,XX,XX,  Niamatpur Union Total,5464,5197,21263,21263,00111
44,33,74,XXX,XX,XX,  Roygram Union Total,6938,5728,24720,24720,00111
44,33,81,XXX,XX,XX,  Rakhalgachhi Union Total,8223,5860,23408,23408,00111
44,33,88,XXX,XX,XX,  Simla Rokonpur Union Total,4182,3631,15002,15002,00111
44,33,94,XXX,XX,XX,  Trilochanpur Union Total,7548,6004,24188,24188,00111
44,42,01,XXX,XX,XX,  Ward No-01 Total,0,777,3322,3322,00111
44,42,02,XXX,XX,XX,  Ward No-02 Total,0,1341,5442,5442,00111
44,42,03,XXX,XX,XX,  Ward No-03 Total,0,898,3690,3690,00111
44,42,04,XXX,XX,XX,  Ward No-04 Total,0,929,3936,3936,00111
44,42,05,XXX,XX,XX,  Ward No-05 Total,0,864,3768,3768,00111
44,42,06,XXX,XX,XX,  Ward No-06 Total,0,599,2514,2514,00111
44,42,07,XXX,XX,XX,  Ward No-07 Total,0,1039,4175,4167,00111
44,42,08,XXX,XX,XX,  Ward No-08 Total,0,829,3594,3594,00111
44,42,09,XXX,XX,XX,  Ward No-09 Total,0,667,2653,2653,00111
44,42,13,XXX,XX,XX,  Baluhar Union Total,6671,5006,20642,20640,00111
44,42,27,XXX,XX,XX,  Dora Union Total,9164,5395,21158,21158,00111
44,42,40,XXX,XX,XX,  Elangi Union Total,6339,4505,18998,18998,00111
44,42,67,XXX,XX,XX,  Kushna Union Total,7761,6087,24908,24908,00111
44,42,81,XXX,XX,XX,  Sabdalpur Union Total,6584,5313,22321,22307,00111
