ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
81,53,81,XXX,XX,03,  Royghati Union,4,1,34,22,31,36,13,7,38,45,5,2,00110
81,82,13,XXX,XX,03,  Baneshwar Union,21,15,43,49,88,94,25,10,106,110,40,32,00110
81,82,81,XXX,XX,03,  Silmaria Union,7,5,55,46,127,114,25,21,57,78,20,5,00110
64,03,10,XXX,XX,03,  Ahsanganj Union,0,1,62,64,95,95,37,42,99,91,22,11,00110
64,03,21,XXX,XX,03,  Bhopara Union,7,3,109,96,160,165,51,43,121,130,38,13,00110
64,03,73,XXX,XX,03,  Panchupur Union,13,19,166,132,272,263,95,75,239,204,42,16,00110
64,06,21,XXX,XX,03,  Badalgachhi Union,20,17,182,181,234,259,77,60,197,225,29,30,00110
64,28,63,XXX,XX,03,  Jahanpur Union,2,4,60,73,111,111,51,38,94,88,29,12,00110
64,47,54,XXX,XX,03,  Kusumba Union,27,20,159,166,330,309,54,45,222,220,38,13,00110
64,47,67,XXX,XX,03,  Manda Union,27,22,76,67,196,183,41,29,164,159,21,15,00110
64,47,88,XXX,XX,03,  Prasadpur Union,6,7,23,29,68,61,6,3,45,47,6,4,00110
64,50,57,XXX,XX,03,  Khajur Union,8,10,36,48,72,65,13,20,36,43,19,17,00110
64,50,66,XXX,XX,03,  Mahadebpur Union,58,62,301,292,541,489,139,113,383,344,113,74,00110
64,69,52,XXX,XX,03,  Niamatpur Union,36,34,137,146,263,265,41,49,195,173,38,41,00110
64,79,55,XXX,XX,03,  Nithpur Union,26,42,449,427,607,640,268,214,373,557,297,97,00110
64,85,84,XXX,XX,03,  Raninagar Union,10,13,210,194,264,278,98,92,202,235,59,44,00110
64,86,71,XXX,XX,03,  Sapahar Union,23,18,299,308,476,432,147,109,505,395,92,66,00110
64,86,79,XXX,XX,03,  Shiranti Union,2,2,30,24,41,35,13,8,31,34,10,0,00110
70,18,18,XXX,XX,03,  Bholahat Union,41,46,400,422,592,614,238,189,469,526,150,67,00110
70,37,42,XXX,XX,03,  Chowdala Union,13,19,396,395,463,528,262,175,378,476,192,66,00110
70,37,52,XXX,XX,03,  Gomastapur Union,26,30,357,366,580,597,153,98,462,524,110,46,00110
70,88,41,XXX,XX,03,  Kansat Union,28,34,187,170,345,331,77,49,207,270,85,44,00110
38,61,47,XXX,XX,03,  Khetlal Union,32,34,281,277,477,505,141,97,377,356,63,41,00110
13,22,94,XXX,XX,03,  Tarpur Chandi Union,44,47,386,377,635,613,258,158,430,530,141,87,00110
13,47,23,XXX,XX,03,  Dakshin Algi Durgapur Union,49,46,283,245,535,501,108,94,329,408,76,53,00110
13,49,35,XXX,XX,03,  Hajiganj Union,40,29,157,152,361,364,33,29,242,230,50,15,00110
3,04,31,XXX,XX,03,  Alikadam Union,166,172,459,440,832,815,246,230,479,499,263,172,00110
3,73,76,XXX,XX,03,  Naikhongchhari Union,132,126,794,836,972,966,411,387,603,533,305,259,00110
3,89,57,XXX,XX,03,  Rowangchhari Union,47,39,141,145,317,248,71,66,177,137,49,39,00110
3,95,57,XXX,XX,03,  Thanchi Union,41,15,47,87,95,72,36,40,40,39,21,22,00110
19,15,18,XXX,XX,03,  Brahman Para Union,51,54,223,237,400,389,112,92,231,289,66,43,00110
19,18,31,XXX,XX,03,  Burichang Union,63,70,393,409,830,752,153,140,583,541,122,51,00110
19,27,20,XXX,XX,03,  Mahichal Union,31,13,51,46,103,100,24,9,56,70,20,19,00110
19,33,35,XXX,XX,03,  Bijoypur Union,44,44,282,327,466,469,144,141,288,377,138,72,00110
19,67,68,XXX,XX,03,  Kalir Bazar Union,39,45,133,131,269,314,51,39,197,250,37,16,00110
19,67,90,XXX,XX,03,  Panchthubi Union,4,7,33,20,63,52,7,1,44,38,8,2,00110
19,67,94,XXX,XX,03,  Uttar Durgapur Union,343,301,1903,1755,2993,2734,868,709,1831,1991,683,392,00110
