ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
18,07,09,XXX,XX,XX,  Ward No-09 Total,697,697,0,0,2802,1383,1419.0,97.0,00111
18,07,13,XXX,XX,XX,  Belgachhi Union Total,3782,3781,0,1,14426,7162,7264.0,99.0,00111
18,07,15,XXX,XX,XX,Baradi Union Total,4823,4821,1,1,19583,9814,9769.0,100.0,00111
18,07,23,XXX,XX,XX,Bhangabaria Union Total,7026,7022,1,3,27714,13949,13765.0,101.0,00111
18,07,27,XXX,XX,XX,Chithla Union Total,5713,5706,3,4,22613,11340,11273.0,101.0,00111
18,07,31,XXX,XX,XX,  Dauki Union Total,4917,4917,0,0,18731,9170,9561.0,96.0,00111
18,07,39,XXX,XX,XX,  Gangni Union Total,5782,5775,5,2,24042,12280,11762.0,104.0,00111
18,07,47,XXX,XX,XX,Hardi Union Total,7340,7327,2,11,29542,14886,14656.0,102.0,00111
18,07,51,XXX,XX,XX,  Kalidashpur Union Total,5914,5909,1,4,23305,11595,11710.0,99.0,00111
18,07,55,XXX,XX,XX,Jamjami Union Total,4638,4636,1,1,18498,9185,9313.0,99.0,00111
18,07,63,XXX,XX,XX,Jehala Union Total,5352,5346,2,4,22286,11168,11118.0,100.0,00111
18,07,71,XXX,XX,XX,  Khadimpur Union Total,4578,4575,3,0,19855,10117,9738.0,104.0,00111
18,07,79,XXX,XX,XX,Khaskara Union Total,5700,5695,1,4,22865,11329,11536.0,98.0,00111
18,07,87,XXX,XX,XX,Kumari Union Total,4591,4589,0,2,18246,9189,9057.0,101.0,00111
18,07,94,XXX,XX,XX,  Nagdaha Union Total,8065,8060,1,4,32168,15974,16194.0,99.0,00111
18,23,01,XXX,XX,XX,  Ward No-01 Total,2390,2371,8,11,10804,5737,5067.0,113.0,00111
18,23,02,XXX,XX,XX,  Ward No-02 Total,2585,2574,2,9,10812,5333,5479.0,97.0,00111
18,23,03,XXX,XX,XX,  Ward No-03 Total,1920,1901,1,18,7963,3878,4085.0,95.0,00111
18,23,04,XXX,XX,XX,  Ward No-04 Total,1605,1598,0,7,6771,3374,3397.0,99.0,00111
18,23,05,XXX,XX,XX,  Ward No-05 Total,2197,2192,2,3,8948,4415,4533.0,97.0,00111
18,23,06,XXX,XX,XX,  Ward No-06 Total,2571,2570,0,1,10682,5407,5275.0,103.0,00111
18,23,07,XXX,XX,XX,  Ward No-07 Total,2618,2615,0,3,10877,5328,5549.0,96.0,00111
18,23,08,XXX,XX,XX,  Ward No-08 Total,2294,2286,4,4,9605,4785,4820.0,99.0,00111
18,23,09,XXX,XX,XX,  Ward No-09 Total,2292,2204,2,86,9324,4683,4641.0,101.0,00111
18,23,11,XXX,XX,XX,Alokdia Union Total,6910,6871,2,37,28840,14364,14476.0,99.0,00111
18,23,23,XXX,XX,XX,  Begampur Union Total,10273,10264,4,5,41758,20669,21089.0,98.0,00111
18,23,47,XXX,XX,XX,Kutubpur Union Total,8406,8396,3,7,33231,16604,16627.0,100.0,00111
18,23,59,XXX,XX,XX,Mominpur Union Total,3859,3857,0,2,15651,7787,7864.0,99.0,00111
18,23,62,XXX,XX,XX,  Padmabila Union Total,5009,5003,0,6,20214,10173,10041.0,101.0,00111
18,23,71,XXX,XX,XX,Shankar Chandra Union Total,11771,11765,3,3,47315,23760,23555.0,101.0,00111
18,23,83,XXX,XX,XX,Titudaha Union Total,10444,10435,3,6,41140,20485,20655.0,99.0,00111
18,31,01,XXX,XX,XX,  Ward No-01 Total,875,875,0,0,3636,1826,1810.0,101.0,00111
18,31,02,XXX,XX,XX,  Ward No-02 Total,996,988,1,7,4206,2107,2099.0,100.0,00111
18,31,03,XXX,XX,XX,  Ward No-03 Total,849,845,0,4,3628,1800,1828.0,98.0,00111
18,31,04,XXX,XX,XX,  Ward No-04 Total,826,824,2,0,3594,1718,1876.0,92.0,00111
18,31,05,XXX,XX,XX,  Ward No-05 Total,882,880,2,0,3708,1861,1847.0,101.0,00111
18,31,06,XXX,XX,XX,  Ward No-06 Total,900,897,1,2,3711,1884,1827.0,103.0,00111
18,31,07,XXX,XX,XX,  Ward No-07 Total,702,697,3,2,3063,1523,1540.0,99.0,00111
18,31,08,XXX,XX,XX,  Ward No-08 Total,1048,1048,0,0,4288,2171,2117.0,103.0,00111
18,31,09,XXX,XX,XX,  Ward No-09 Total,890,890,0,0,3562,1792,1770.0,101.0,00111
18,31,11,XXX,XX,XX,Damurhuda Union Total,9963,9927,2,34,41442,20928,20514.0,102.0,00111
18,31,23,XXX,XX,XX,  Perkrishnapur Madna Union Total,6069,6066,1,2,25054,12510,12544.0,100.0,00111
18,31,35,XXX,XX,XX,Howli Union Total,9799,9799,0,0,40012,20005,20007.0,100.0,00111
18,31,47,XXX,XX,XX,  Juranpur Union Total,9079,9076,1,2,36675,18451,18224.0,101.0,00111
18,31,59,XXX,XX,XX,  Kapasadanga Union Total,10791,10783,6,2,46298,23219,23079.0,101.0,00111
18,31,71,XXX,XX,XX,  Kuralgachhi Union Total,7335,7325,9,1,29643,14910,14733.0,101.0,00111
18,31,83,XXX,XX,XX,  Natipota Union Total,8832,8817,8,7,37057,18561,18496.0,100.0,00111
18,55,01,XXX,XX,XX,  Ward No-01 Total,328,327,1,0,1365,681,684.0,100.0,00111
18,55,02,XXX,XX,XX,  Ward No-02 Total,680,680,0,0,2755,1383,1372.0,101.0,00111
18,55,03,XXX,XX,XX,  Ward No-03 Total,778,776,2,0,3019,1517,1502.0,101.0,00111
