ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
06,XX.0,XX.0,XXX,XX,03, Barisal Zila,71959,9.1,12.1,12.9,9.6,8.3,8.2,24.2,6.8,3.2,5.7,00110
06,2.0,XX.0,XXX,XX,03,  Agailjhara Upazila,10857,8.9,11.8,12.1,10.0,7.9,8.4,25.5,6.6,2.9,6.0,00110
06,2.0,15.0,XXX,XX,03,  Bakal Union,3503,9.4,12.9,13.4,9.3,7.5,8.8,25.5,5.6,2.6,5.0,00110
06,2.0,47.0,XXX,XX,03,  Gaila Union,7354,8.6,11.3,11.5,10.3,8.2,8.1,25.5,7.0,3.0,6.5,00110
06,3.0,XX.0,XXX,XX,03,  Babuganj Upazila,9847,8.6,11.6,12.5,9.9,9.2,8.1,24.4,6.8,3.4,5.4,00110
06,3.0,81.0,XXX,XX,03,  Rahmatpur Union,9847,8.6,11.6,12.5,9.9,9.2,8.1,24.4,6.8,3.4,5.4,00110
06,7.0,XX.0,XXX,XX,03,  Bakerganj Upazila,4074,9.3,11.3,13.3,8.3,7.8,7.1,24.6,7.5,3.6,7.2,00110
06,7.0,12.0,XXX,XX,03,  Bhar Pasha Union,3410,9.4,11.3,13.7,7.8,7.6,6.7,24.7,7.9,3.5,7.3,00110
06,7.0,94.0,XXX,XX,03,  Rangasree Union,664,8.6,11.3,10.8,11.0,8.6,9.3,24.2,5.7,4.1,6.3,00110
06,10.0,XX.0,XXX,XX,03,  Banari Para Upazila,6516,8.7,12.8,13.9,8.7,6.9,7.4,23.9,7.9,3.0,6.8,00110
06,10.0,42.0,XXX,XX,03,  Chakhar Union,3082,8.1,11.7,14.3,8.7,6.9,8.1,25.1,7.8,2.7,6.5,00110
06,10.0,63.0,XXX,XX,03,  Salia Bakpur Union,3434,9.3,13.7,13.5,8.6,6.9,6.9,22.8,7.9,3.3,7.0,00110
06,36.0,XX.0,XXX,XX,03,  Hizla Upazila,14184,10.6,14.0,14.5,9.4,7.8,8.0,21.4,6.2,3.2,5.0,00110
06,36.0,13.0,XXX,XX,03,  Bara Jalia Union,14184,10.6,14.0,14.5,9.4,7.8,8.0,21.4,6.2,3.2,5.0,00110
06,51.0,XX.0,XXX,XX,03,  Barisal Sadar Upazila,11030,8.9,11.3,12.3,10.0,9.2,9.0,24.7,6.6,3.0,5.0,00110
