ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
22,66,XX,XXX,XX,01,  Ramu Upazila,40231,224568,224549,19,01110
22,90,XX,XXX,XX,01,  Teknaf Upazila,36913,212949,212866,83,01110
22,94,XX,XXX,XX,01,  Ukhia Upazila,32747,180062,180010,52,01110
15,04,XX,XXX,XX,01,  Anowara Upazila,48807,253556,253549,7,01110
15,08,XX,XXX,XX,01,  Banshkhali Upazila,76838,394252,394159,93,01110
15,12,XX,XXX,XX,01,  Boalkhali Upazila,33837,171968,171917,51,01110
15,18,XX,XXX,XX,01,  Chandanaish  Upazila,37586,197769,197596,173,01110
15,33,XX,XXX,XX,01,  Fatikchhari Upazila,91913,484009,483573,436,01110
15,37,XX,XXX,XX,01,  Hathazari Upazila,81291,431688,431061,627,01110
15,47,XX,XXX,XX,01,  Lohagara Upazila,46893,249098,249097,1,01110
15,53,XX,XXX,XX,01,  Mirsharai Upazila,72915,367510,367365,145,01110
15,61,XX,XXX,XX,01,  Patiya Upazila,90986,472797,472795,2,01110
15,70,XX,XXX,XX,01,  Rangunia Upazila,55733,278619,278564,55,01110
15,74,XX,XXX,XX,01,  Raozan Upazila,51915,263692,263681,11,01110
15,78,XX,XXX,XX,01,  Sandwip Upazila,45959,225623,225598,25,01110
15,82,XX,XXX,XX,01,  Satkania Upazila,60537,330457,330194,263,01110
15,86,XX,XXX,XX,01,  Sitakunda Upazila,68262,342685,342628,57,01110
84,07,XX,XXX,XX,01,  Baghaichhari Upazila,16044,77024,77024,0,01110
84,21,XX,XXX,XX,01,  Barkal Upazila,9019,45591,45567,24,01110
84,25,XX,XXX,XX,01,  Kawkhali Upazila,10711,49248,49239,9,01110
84,29,XX,XXX,XX,01,  Belai Chhari Upazila,5529,26067,26067,0,01110
84,36,XX,XXX,XX,01,  Kaptai  Upazila,10454,45219,45215,4,01110
84,47,XX,XXX,XX,01,  Jurai Chhari Upazila,4762,21891,21891,0,01110
84,58,XX,XXX,XX,01,  Langadu  Upazila,15477,70157,70080,77,01110
84,75,XX,XXX,XX,01,  Naniarchar  Upazila,8134,37424,37423,1,01110
84,78,XX,XXX,XX,01,  Rajasthali  Upazila,5247,23003,22943,60,01110
84,87,XX,XXX,XX,01,  Rangamati Sadar Upazila,8517,40728,40722,6,01110
30,14,XX,XXX,XX,01,  Chhagalnaiya Upazila,27290,138913,138897,16,01110
30,25,XX,XXX,XX,01,  Daganbhuiyan Upazila,42613,220828,220769,59,01110
30,29,XX,XXX,XX,01,  Feni Sadar Upazila,66401,355675,355597,78,01110
30,41,XX,XXX,XX,01,  Fulgazi Upazila,22602,115105,114960,145,01110
30,51,XX,XXX,XX,01,  Parshuram Upazila,14403,71371,71354,17,01110
30,94,XX,XXX,XX,01,  Sonagazi Upazila,46234,241737,241728,9,01110
75,07,XX,XXX,XX,01,  Begumganj Upazila,77598,416360,416299,61,01110
75,10,XX,XXX,XX,01,  Chatkhil Upazila,39960,201858,201791,67,01110
75,21,XX,XXX,XX,01,  Companiganj Upazila,43503,220702,220688,14,01110
75,36,XX,XXX,XX,01,  Hatiya Upazila,73374,365949,365916,33,01110
75,47,XX,XXX,XX,01,  Kabirhat Upazila,32814,179496,179488,8,01110
75,80,XX,XXX,XX,01,  Senbagh Upazila,48823,256087,255943,144,01110
75,83,XX,XXX,XX,01,  Sonaimuri Upazila,54380,292976,292933,43,01110
75,85,XX,XXX,XX,01,  Subarnachar Upazila,54182,282863,282675,188,01110
75,87,XX,XXX,XX,01,  Noakhali Sadar Upazila,75581,395092,394996,96,01110
29,03,XX,XXX,XX,01,  Alfadanga Upazila,22604,101397,101393,4,01110
29,10,XX,XXX,XX,01,  Bhanga Upazila,46995,212555,212413,142,01110
