ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Literate (can write a letter)-Both-Yes,Literate (can write a letter)-Both-No,Literate (can write a letter)-Male-Yes,Literate (can write a letter)-Male-No,Literate (can write a letter)-Female-Yes,Literate (can write a letter)-Female-No,Literacy Rate (%)-Both,Literacy Rate (%)-Male,Literacy Rate (%)-Female,check_var
52.0,2.0,XX.0,XXX,XX,03,  Aditmari Upazila,9606,6861,5197,3081,4409,3780,58.3,62.8,53.8,00110
52.0,2.0,10.0,XXX,XX,03,  Bhadai Union,9606,6861,5197,3081,4409,3780,58.3,62.8,53.8,00110
52.0,39.0,XX.0,XXX,XX,03,  Kaligang Upazila,8948,7152,4772,3310,4176,3842,55.6,59.0,52.1,00110
52.0,39.0,95.0,XXX,XX,03,  Tushbhandar Union,8948,7152,4772,3310,4176,3842,55.6,59.0,52.1,00110
77.0,XX.0,XX.0,XXX,XX,03, Panchagarh Zila,19603,9890,10479,4328,9124,5562,66.5,70.8,62.1,00110
77.0,4.0,XX.0,XXX,XX,03,  Atwari Upazila,7665,1788,4118,623,3547,1165,81.1,86.9,75.3,00110
77.0,4.0,67.0,XXX,XX,03,  Radhanagar Union,7289,1584,3913,546,3376,1038,82.1,87.8,76.5,00110
77.0,4.0,81.0,XXX,XX,03,  Taria Union,376,204,205,77,171,127,64.8,72.7,57.4,00110
77.0,25.0,XX.0,XXX,XX,03,  Boda Upazila,1169,757,642,347,527,410,60.7,64.9,56.2,00110
77.0,25.0,73.0,XXX,XX,03,  Maidan Dighi Union,1169,757,642,347,527,410,60.7,64.9,56.2,00110
77.0,34.0,XX.0,XXX,XX,03,  Debiganj Upazila,7470,5500,4011,2503,3459,2997,57.6,61.6,53.6,00110
77.0,34.0,47.0,XXX,XX,03,  Debiganj Union,7470,5500,4011,2503,3459,2997,57.6,61.6,53.6,00110
77.0,73.0,XX.0,XXX,XX,03,  Panchagarh Sadar Upazila,255,136,118,60,137,76,65.2,66.3,64.3,00110
77.0,73.0,36.0,XXX,XX,03,  Dhakkamara Union,255,136,118,60,137,76,65.2,66.3,64.3,00110
77.0,90.0,XX.0,XXX,XX,03,  Tentulia Upazila,3044,1709,1590,795,1454,914,64.0,66.7,61.4,00110
77.0,90.0,81.0,XXX,XX,03,  Tentulia Union,3044,1709,1590,795,1454,914,64.0,66.7,61.4,00110
85.0,XX.0,XX.0,XXX,XX,03, Rangpur Zila,28427,19378,15142,8927,13285,10451,59.5,62.9,56.0,00110
85.0,27.0,XX.0,XXX,XX,03,  Gangachara Upazila,6062,4574,3280,2137,2782,2437,57.0,60.6,53.3,00110
85.0,27.0,31.0,XXX,XX,03,  Gangachara Union,6062,4574,3280,2137,2782,2437,57.0,60.6,53.3,00110
85.0,58.0,XX.0,XXX,XX,03,  Mithapukur Upazila,3836,2369,2048,1122,1788,1247,61.8,64.6,58.9,00110
85.0,58.0,49.0,XXX,XX,03,  Durgapur Union,3836,2369,2048,1122,1788,1247,61.8,64.6,58.9,00110
85.0,73.0,XX.0,XXX,XX,03,  Pirgachha Upazila,6220,5044,3197,2245,3023,2799,55.2,58.7,51.9,00110
85.0,73.0,76.0,XXX,XX,03,  Pirgachha Union,6220,5044,3197,2245,3023,2799,55.2,58.7,51.9,00110
85.0,76.0,XX.0,XXX,XX,03,  Pirganj Upazila,8481,4542,4518,2123,3963,2419,65.1,68.0,62.1,00110
85.0,76.0,69.0,XXX,XX,03,  Pirganj Union,7333,3691,3916,1742,3417,1949,66.5,69.2,63.7,00110
85.0,76.0,75.0,XXX,XX,03,  Roypur Union,1148,851,602,381,546,470,57.4,61.2,53.7,00110
85.0,92.0,XX.0,XXX,XX,03,  Taraganj Upazila,3828,2849,2099,1300,1729,1549,57.3,61.8,52.7,00110
85.0,92.0,71.0,XXX,XX,03,  Kursha Union,3828,2849,2099,1300,1729,1549,57.3,61.8,52.7,00110
49.0,XX.0,XX.0,XXX,XX,03, Kurigram Zila,58377,61118,30844,27559,27533,33559,48.9,52.8,45.1,00110
49.0,6.0,XX.0,XXX,XX,03,  Bhurungamari Upazila,14404,10986,7761,4981,6643,6005,56.7,60.9,52.5,00110
49.0,6.0,19.0,XXX,XX,03,  Bhurungamari Union,14404,10986,7761,4981,6643,6005,56.7,60.9,52.5,00110
49.0,8.0,XX.0,XXX,XX,03,  Char Rajibpur Upazila,5214,7211,2779,3274,2435,3937,42.0,45.9,38.2,00110
49.0,8.0,19.0,XXX,XX,03,  Char Rajibpur Union,5214,7211,2779,3274,2435,3937,42.0,45.9,38.2,00110
49.0,9.0,XX.0,XXX,XX,03,  Chilmari Upazila,17236,20642,8758,9307,8478,11335,45.5,48.5,42.8,00110
49.0,9.0,59.0,XXX,XX,03,  Ramna Union,9768,13939,4935,6144,4833,7795,41.2,44.5,38.3,00110
49.0,9.0,83.0,XXX,XX,03,  Thanahat Union,7468,6703,3823,3163,3645,3540,52.7,54.7,50.7,00110
49.0,18.0,XX.0,XXX,XX,03,  Phulbari Sadar Upazila,5314,5788,2862,2583,2452,3205,47.9,52.6,43.3,00110
