ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Literate (can write a letter)-Both-Yes,Literate (can write a letter)-Both-No,Literate (can write a letter)-Male-Yes,Literate (can write a letter)-Male-No,Literate (can write a letter)-Female-Yes,Literate (can write a letter)-Female-No,Literacy Rate (%)-Both,Literacy Rate (%)-Male,Literacy Rate (%)-Female,check_var
51.0,33.0,47.0,XXX,XX,01,  Char Falcon Union,1748,2881,903,1452,845,1429,37.8,38.3,37.2,00110
51.0,43.0,XX.0,XXX,XX,01,  Lakshmipur Sadar Upazila,248199,246691,112173,116972,136026,129719,50.2,49.0,51.2,00110
51.0,43.0,90.0,XXX,XX,01,  Dakshin Hamchadi Union,12900,6758,5724,3004,7176,3754,65.6,65.6,65.7,00110
51.0,58.0,XX.0,XXX,XX,01,  Roypur Upazila,86439,94173,41192,45063,45247,49110,47.9,47.8,48.0,00110
51.0,58.0,11.0,XXX,XX,01,  Bamni Union,11792,6659,5263,2963,6529,3696,63.9,64.0,63.9,00110
51.0,58.0,59.0,XXX,XX,01,  Keroa Union,3330,1627,1500,783,1830,844,67.2,65.7,68.4,00110
51.0,58.0,71.0,XXX,XX,01,  Roypur Union,4545,4946,2188,2434,2357,2512,47.9,47.3,48.4,00110
51.0,65.0,XX.0,XXX,XX,01,  Ramganj Upazila,129744,71699,55870,33325,73874,38374,64.4,62.6,65.8,00110
51.0,73.0,XX.0,XXX,XX,01,  Ramgati Upazila,57332,99290,28223,47206,29109,52084,36.6,37.4,35.9,00110
51.0,73.0,23.0,XXX,XX,01,  Char Alexandar Union,6068,10235,2904,5065,3164,5170,37.2,36.4,38.0,00110
46.0,XX.0,XX.0,XXX,XX,01, Khagrachhari Zila,131266,196283,76091,89462,55175,106821,40.1,46.0,34.1,00110
46.0,43.0,XX.0,XXX,XX,01,  Dighinala Upazila,31754,41749,18819,18714,12935,23035,43.2,50.1,36.0,00110
46.0,43.0,31.0,XXX,XX,01,  Boalkhali Union,1554,2550,970,1108,584,1442,37.9,46.7,28.8,00110
46.0,49.0,XX.0,XXX,XX,01,  Khagrachhari Sadar Upazila,15912,19285,9132,8596,6780,10689,45.2,51.5,38.8,00110
46.0,61.0,XX.0,XXX,XX,01,  Lakshmichhari Upazila,6361,13255,4008,5999,2353,7256,32.4,40.1,24.5,00110
46.0,61.0,71.0,XXX,XX,01,  Lakshmichhari Union,2926,5027,1856,2205,1070,2822,36.8,45.7,27.5,00110
46.0,65.0,XX.0,XXX,XX,01,  Mahalchhari Upazila,13324,20104,7836,9281,5488,10823,39.9,45.8,33.6,00110
46.0,65.0,31.0,XXX,XX,01,  Mahalchhari Union,1894,3196,1075,1520,819,1676,37.2,41.4,32.8,00110
46.0,67.0,XX.0,XXX,XX,01,  Manikchhari Upazila,7559,13905,4136,6599,3423,7306,35.2,38.5,31.9,00110
46.0,67.0,87.0,XXX,XX,01,  Tintahari Union,413,1856,248,910,165,946,18.2,21.4,14.9,00110
46.0,70.0,XX.0,XXX,XX,01,  Matiranga Upazila,33704,49963,18950,22922,14754,27041,40.3,45.3,35.3,00110
46.0,77.0,XX.0,XXX,XX,01,  Panchhari Upazila,12689,20683,7460,9290,5229,11393,38.0,44.5,31.5,00110
