ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
77,25,73,XXX,XX,01,  Maidan Dighi Union,4566,1816,2750,1637,391,4,5,11,2042.0,164,312,00110
77,34,47,XXX,XX,01,  Debiganj Union,4248,1952,2296,1763,167,14,12,15,1829.0,160,288,00110
77,73,36,XXX,XX,01,  Dhakkamara Union,5870,2565,3305,2179,180,32,12,38,2441.0,316,672,00110
77,90,81,XXX,XX,01,  Tentulia Union,4104,1829,2275,1624,107,8,13,16,1862.0,181,293,00110
85,27,31,XXX,XX,01,  Gangachara Union,7850,3501,4349,3005,472,35,22,43,3263.0,418,592,00110
85,58,49,XXX,XX,01,  Durgapur Union,11931,5441,6490,4606,480,45,59,157,5116.0,633,835,00110
85,73,76,XXX,XX,01,  Pirgachha Union,9441,4062,5379,3453,247,46,10,19,4397.0,544,725,00110
85,76,69,XXX,XX,01,  Pirganj Union,7707,3540,4167,3109,114,27,31,26,3598.0,378,424,00110
85,76,75,XXX,XX,01,  Roypur Union,7487,3514,3973,2964,72,14,15,17,3329.0,519,557,00110
85,92,71,XXX,XX,01,  Kursha Union,6821,3152,3669,2781,174,11,6,15,3132.0,345,357,00110
49,06,19,XXX,XX,01,  Bhurungamari Union,7005,3279,3726,2836,129,13,4,45,3147.0,385,446,00110
49,08,19,XXX,XX,01,  Char Rajibpur Union,8662,3882,4780,3513,91,10,5,19,4272.0,340,412,00110
49,09,83,XXX,XX,01,  Thanahat Union,7340,3195,4145,2913,168,9,9,29,3606.0,244,362,00110
49,18,40,XXX,XX,01,  Phulbari Union,6776,2812,3964,2370,216,46,14,21,3166.0,375,568,00110
49,52,17,XXX,XX,01,  Belgachha Union,7246,3154,4092,2790,322,11,8,39,3231.0,314,531,00110
49,77,21,XXX,XX,01,  Chakirpashar Union,7798,3245,4553,2950,397,13,14,23,3736.0,259,406,00110
49,77,73,XXX,XX,01,  Rajarhat Union,9121,3757,5364,3254,180,27,3,95,4445.0,381,736,00110
49,79,71,XXX,XX,01,  Raumari Union,8854,3857,4997,3122,143,23,26,104,4165.0,608,663,00110
32,21,47,XXX,XX,01,  Gazaria Union,5569,2587,2982,2226,120,22,6,14,2478.0,325,378,00110
32,24,14,XXX,XX,01,  Ballamjhar Union,13763,6280,7483,5339,230,37,14,45,6033.0,859,1206,00110
32,24,21,XXX,XX,01,  Boali Union,11996,5230,6766,4352,493,68,18,82,5371.0,728,884,00110
32,24,58,XXX,XX,01,  Kholahati Union,9860,4487,5373,3723,162,15,7,25,4280.0,724,924,00110
32,24,85,XXX,XX,01,  Mollar Char Union,2709,1201,1508,1041,23,3,2,19,1262.0,138,221,00110
32,67,85,XXX,XX,01,  Palashbari Union,4453,1970,2483,1678,52,10,3,10,2094.0,272,334,00110
32,82,13,XXX,XX,01,  Banagram Union,6821,3042,3779,2577,134,9,11,24,3233.0,432,401,00110
32,82,60,XXX,XX,01,  Jamalpur Union,10081,4589,5492,3681,127,31,9,112,4515.0,765,841,00110
32,88,19,XXX,XX,01,  Bonar Para Union,7613,3277,4336,2876,150,14,5,21,3641.0,366,540,00110
32,88,85,XXX,XX,01,  Saghata Union,6364,2712,3652,2420,77,7,7,11,3102.0,274,466,00110
32,91,31,XXX,XX,01,  Dahabanda Union,8124,3688,4436,3149,134,23,10,101,3868.0,415,424,00110
73,12,19,XXX,XX,01,  Dimla Union,8334,3628,4706,3190,153,8,8,25,4028.0,405,517,00110
73,15,19,XXX,XX,01,  Bhogdabari Union,7408,3423,3985,3022,193,6,11,62,3416.0,333,365,00110
73,15,28,XXX,XX,01,  Boragari Union,5970,2417,3553,2157,68,36,3,18,3071.0,206,411,00110
73,15,38,XXX,XX,01,  Domar Union,2908,1313,1595,1180,66,7,2,3,1362.0,123,165,00110
73,45,51,XXX,XX,01,  Kishoreganj Union,10559,4760,5799,4054,236,25,9,28,4853.0,653,701,00110
73,85,23,XXX,XX,01,  Bangalipur Union,4596,1989,2607,1675,70,13,11,107,2281.0,194,245,00110
94,08,21,XXX,XX,01,  Barabari Union,4853,1963,2890,1740,76,6,6,4,2446.0,213,362,00110
94,08,73,XXX,XX,01,  Duosuo Union,5610,2399,3211,1955,145,61,12,12,2665.0,371,389,00110
94,51,81,XXX,XX,01,  Haripur Union,5141,2394,2747,2001,23,29,1,93,2440.0,271,283,00110
94,94,52,XXX,XX,01,  Jamalpur Union,5156,2122,3034,1901,223,5,2,18,2402.0,198,407,00110
94,94,58,XXX,XX,01,  Mohammadpur Union,4034,1709,2325,1528,149,10,3,11,1909.0,160,264,00110
94,94,68,XXX,XX,01,  Rahimanpur Union,6612,2792,3820,2367,179,25,12,16,2803.0,384,826,00110
27,10,71,XXX,XX,01,  Khanpur Union,5472,2515,2957,2041,201,6,7,27,2276.0,441,473,00110
27,10,83,XXX,XX,01,  Pali Prayagpur Union,2105,988,1117,904,60,4,2,7,952.0,73,103,00110
27,17,28,XXX,XX,01,  Biral Union,7418,3507,3911,2981,199,14,3,17,3243.0,495,466,00110
27,30,13,XXX,XX,01,  Abdulpur Union,7327,3291,4036,2720,116,16,5,191,3412.0,364,503,00110
27,43,38,XXX,XX,01,  Ghoraghat Union,3680,1806,1874,1565,63,10,2,17,1589.0,214,220,00110
27,56,31,XXX,XX,01,  Mukundapur Union,6805,3006,3799,2677,214,9,6,17,3209.0,303,370,00110
27,60,15,XXX,XX,01,  Alokjhari Union,7738,3419,4319,3104,129,9,3,24,3803.0,282,384,00110
27,64,69,XXX,XX,01,  Shashara Union,4942,2264,2678,1886,251,4,3,24,1933.0,350,491,00110
27,64,77,XXX,XX,01,  Sekhpura Union,8320,3736,4584,3322,652,11,1,22,3338.0,381,593,00110
27,69,17,XXX,XX,01,  Binodnagar Union,8209,3799,4410,3368,115,15,3,68,3845.0,348,447,00110
27,69,43,XXX,XX,01,  Golapganj Union,9231,4361,4870,3857,333,11,8,65,3941.0,428,588,00110
27,77,86,XXX,XX,01,  Rampur Union,6583,2860,3723,2428,103,7,2,74,3264.0,351,354,00110
10,06,13,XXX,XX,01,  Adam Dighi Union,5627,2506,3121,2067,197,19,4,100,2507.0,320,413,00110
10,27,38,XXX,XX,01,  Dhunat Union,7512,3440,4072,3117,183,18,11,15,3443.0,290,435,00110
10,88,28,XXX,XX,01,  Garidaha Union,13396,6186,7210,5413,317,21,17,60,5896.0,692,980,00110
10,88,57,XXX,XX,01,  Kusumbi Union,11545,5224,6321,4115,105,20,6,495,5417.0,594,793,00110
