ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Number of Households,Type of Structure (%)-Pucka,Type of Structure (%)-Semi-pucka,Type of Structure (%)-Kutcha,Type of Structure (%)-Jhupri,Toilet Facility (%)-Sanitary (water-sealed),Toilet Facility (%)-Sanitary (non water-sealed),Toilet Facility (%)-Non-sanitary,Toilet Facility (%)-None,check_var
87.0,47.0,63.0,XXX,XX,01,  Mathureshpur Union,5222,15.8,21.8,61.2,1.2,13.2,47.2,38.8,0.8,00110
87.0,47.0,94.0,XXX,XX,01,  Tarali Union,5258,15.0,25.0,58.0,2.0,21.4,53.1,24.2,1.4,00110
87.0,82.0,XX.0,XXX,XX,01,  Satkhira Sadar Upazila,82087,11.6,41.8,45.2,1.3,12.4,34.7,48.3,4.6,00110
87.0,86.0,XX.0,XXX,XX,01,  Shyamnagar Upazila,68193,6.7,7.9,84.5,0.9,20.6,41.4,33.6,4.4,00110
87.0,86.0,94.0,XXX,XX,01,  Shyamnagar Union,3068,9.9,14.2,75.6,0.4,8.8,50.5,39.3,1.4,00110
87.0,90.0,XX.0,XXX,XX,01,  Tala Upazila,70049,12.1,34.7,51.7,1.6,9.8,37.2,48.3,4.6,00110
87.0,90.0,87.0,XXX,XX,01,  Tala Union,5625,8.8,34.2,56.0,1.0,32.0,26.5,37.1,4.4,00110
42.0,XX.0,XX.0,XXX,XX,01, Jhalokati Zila,131951,4.1,9.2,84.0,2.7,45.3,41.1,12.4,1.2,00110
42.0,40.0,XX.0,XXX,XX,01,  Jhalokati Sadar Upazila,37667,5.3,10.1,81.0,3.7,56.3,32.3,10.1,1.3,00110
42.0,40.0,85.0,XXX,XX,01,  Ponabalia Union,3426,4.1,4.5,87.5,3.9,25.1,47.9,24.6,2.3,00110
42.0,43.0,XX.0,XXX,XX,01,  Kanthalia Upazila,28170,2.1,8.0,87.7,2.2,44.8,42.0,11.7,1.5,00110
42.0,43.0,63.0,XXX,XX,01,  Kanthalia Union,2467,0.7,6.4,89.9,3.0,35.3,60.2,3.5,1.0,00110
42.0,73.0,XX.0,XXX,XX,01,  Nalchity Upazila,35888,5.2,10.2,81.8,2.7,25.7,53.7,19.4,1.2,00110
42.0,84.0,XX.0,XXX,XX,01,  Rajapur Upazila,30226,3.4,7.9,86.8,2.0,55.2,36.3,7.7,0.8,00110
42.0,84.0,40.0,XXX,XX,01,  Mathbari Union,4457,5.8,10.8,81.6,1.9,53.7,37.6,7.7,1.1,00110
42.0,84.0,54.0,XXX,XX,01,  Rajapur Union,4753,1.6,8.5,88.2,1.7,56.8,35.9,7.3,0.0,00110
78.0,XX.0,XX.0,XXX,XX,01, Patuakhali Zila,300605,1.2,3.6,89.7,5.5,20.6,49.0,26.6,3.7,00110
78.0,38.0,XX.0,XXX,XX,01,  Bauphal Upazila,63988,1.8,5.0,92.4,0.8,18.3,51.0,29.2,1.6,00110
78.0,38.0,29.0,XXX,XX,01,  Bauphal Union,4452,1.6,3.7,94.5,0.2,16.0,56.6,26.5,1.0,00110
78.0,38.0,35.0,XXX,XX,01,  Daspara Union,3123,1.0,2.9,95.9,0.3,26.4,49.0,22.6,2.0,00110
78.0,52.0,XX.0,XXX,XX,01,  Dashmina Upazila,24224,0.7,1.7,95.1,2.4,18.8,55.3,23.3,2.6,00110
78.0,52.0,31.0,XXX,XX,01,  Banshbaria Union,3242,0.6,1.7,97.3,0.3,46.4,42.5,10.0,1.1,00110
78.0,52.0,52.0,XXX,XX,01,  Dashmina Union,2689,0.5,1.8,93.2,4.5,21.0,48.8,26.5,3.7,00110
78.0,55.0,XX.0,XXX,XX,01,  Dumki Upazila,12972,1.9,5.5,92.0,0.6,26.5,49.5,22.9,1.0,00110
78.0,55.0,93.0,XXX,XX,01,  Sreerampur Union,1319,1.3,5.8,92.1,0.8,8.4,33.7,57.7,0.2,00110
78.0,57.0,XX.0,XXX,XX,01,  Galachipa Upazila,73797,0.5,2.3,85.0,12.2,14.5,47.0,30.3,8.2,00110
78.0,57.0,50.0,XXX,XX,01,  Chiknikandi Union,3225,0.5,3.7,94.5,1.3,21.1,47.9,29.0,2.0,00110
78.0,57.0,67.0,XXX,XX,01,  Galachipa Union,3461,0.6,1.4,90.6,7.4,15.3,41.9,35.7,7.1,00110
78.0,66.0,XX.0,XXX,XX,01,  Kala Para Upazila,48772,0.8,1.8,86.2,11.2,26.5,42.5,26.3,4.8,00110
78.0,66.0,83.0,XXX,XX,01,  Tiakhali Union,1412,0.8,2.0,95.6,1.6,51.7,32.2,15.1,1.1,00110
78.0,76.0,XX.0,XXX,XX,01,  Mirzaganj Upazila,23124,2.6,8.0,88.4,1.1,23.2,56.2,19.5,1.0,00110
78.0,76.0,13.0,XXX,XX,01,  Amragachhia Union,4576,3.5,10.3,85.4,0.7,7.2,80.0,12.3,0.5,00110
78.0,76.0,27.0,XXX,XX,01,  Deuli Subidkhali Union,2449,3.0,17.4,78.6,0.9,64.1,29.1,6.2,0.6,00110
78.0,76.0,81.0,XXX,XX,01,  Mirzaganj Union,3406,3.0,7.7,88.9,0.4,65.1,32.0,2.1,0.8,00110
78.0,95.0,XX.0,XXX,XX,01,  Patuakhali Sadar Upazila,53728,1.1,4.0,93.6,1.3,24.6,49.5,24.4,1.5,00110
78.0,95.0,27.0,XXX,XX,01,  Jainkati Union,2766,0.7,2.5,95.2,1.6,38.4,41.1,19.8,0.7,00110
6.0,XX.0,XX.0,XXX,XX,01, Barisal Zila,398558,2.7,7.1,88.3,1.9,30.1,51.8,16.5,1.6,00110
6.0,2.0,XX.0,XXX,XX,01,  Agailjhara Upazila,30375,3.0,4.7,90.3,2.1,37.6,46.7,12.9,2.7,00110
6.0,2.0,15.0,XXX,XX,01,  Bakal Union,4981,2.0,2.8,93.7,1.5,32.2,48.3,14.2,5.3,00110
6.0,2.0,47.0,XXX,XX,01,  Gaila Union,5526,7.3,12.0,79.0,1.7,38.7,50.3,10.3,0.7,00110
6.0,3.0,XX.0,XXX,XX,01,  Babuganj Upazila,29429,5.4,10.2,81.4,3.1,31.6,56.6,11.4,0.4,00110
6.0,3.0,81.0,XXX,XX,01,  Rahmatpur Union,3297,12.4,16.6,69.0,1.9,20.6,61.4,17.9,0.1,00110
6.0,7.0,XX.0,XXX,XX,01,  Bakerganj Upazila,67141,3.0,8.9,86.9,1.2,29.5,47.7,20.9,1.9,00110
6.0,7.0,12.0,XXX,XX,01,  Bhar Pasha Union,3481,3.1,9.3,86.6,1.0,36.4,41.3,21.5,0.8,00110
6.0,7.0,94.0,XXX,XX,01,  Rangasree Union,7183,3.6,9.3,85.4,1.7,27.5,60.6,11.3,0.6,00110
6.0,10.0,XX.0,XXX,XX,01,  Banari Para Upazila,30241,2.3,6.3,89.0,2.4,59.6,32.6,7.2,0.7,00110
6.0,10.0,42.0,XXX,XX,01,  Chakhar Union,3248,3.9,12.4,81.4,2.3,44.6,46.9,8.3,0.2,00110
6.0,10.0,63.0,XXX,XX,01,  Salia Bakpur Union,3741,4.2,7.8,85.6,2.3,63.9,31.5,4.5,0.1,00110
