ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism
47,64,83,-9,-9,-9,  Raruli Union Total,26152,2.5,0.2,0.9,0.3,0.8,0.2,0.1
47,64,89,-9,-9,-9,  Sholadana Union Total,22307,2.5,0.2,0.7,0.3,0.9,0.3,0.2
47,69,-9,-9,-9,-9,Phultala Upazila Total,83881,1.7,0.2,0.4,0.1,0.7,0.2,0.1
47,69,-9,-9,-9,1,  Phultala Upazila,52300,1.5,0.2,0.2,0.1,0.8,0.2,0.0
47,69,-9,-9,-9,3,  Phultala Upazila,31581,1.9,0.1,0.7,0.2,0.5,0.2,0.1
47,69,38,-9,-9,-9,Damodar Union Total,36742,1.9,0.2,0.6,0.2,0.6,0.2,0.1
47,69,38,-9,-9,1,  Damodar Union,8291,1.7,0.2,0.3,0.0,0.9,0.2,0.0
47,69,38,-9,-9,3,  Damodar Union,28451,2.0,0.1,0.7,0.2,0.5,0.2,0.1
47,69,57,-9,-9,-9,  Jamira Union Total,19138,1.3,0.2,0.2,0.2,0.5,0.2,0.0
47,69,76,-9,-9,-9,Phultala Union Total,28001,1.6,0.2,0.3,0.1,0.9,0.2,0.0
47,69,76,-9,-9,1,  Phultala Union,24871,1.7,0.2,0.3,0.1,0.9,0.2,0.0
47,69,76,-9,-9,3,  Phultala Union,3130,1.0,0.2,0.2,0.0,0.3,0.2,0.1
47,75,-9,-9,-9,-9,Rupsa Upazila Total,179519,1.9,0.2,0.4,0.2,0.7,0.2,0.1
47,75,-9,-9,-9,1,  Rupsa Upazila,179519,1.9,0.2,0.4,0.2,0.7,0.2,0.1
47,75,13,-9,-9,-9,  Aijganti Union Total,44318,2.4,0.4,0.4,0.1,0.9,0.3,0.3
47,75,27,-9,-9,-9,  Ghatbhogh Union Total,33786,1.1,0.2,0.2,0.1,0.4,0.2,0.1
47,75,54,-9,-9,-9,  Naihati Union Total,58299,2.1,0.2,0.6,0.3,0.8,0.2,0.1
47,75,67,-9,-9,-9,  Sreefaltala Union Total,25242,1.7,0.2,0.4,0.2,0.5,0.3,0.0
47,75,81,-9,-9,-9,  T. S. Bahirdia Union Total,17874,1.6,0.1,0.3,0.2,0.6,0.2,0.1
47,85,-9,-9,-9,-9,Sonadanga Thana Total,167739,1.2,0.1,0.2,0.1,0.4,0.2,0.1
47,85,-9,-9,-9,2,  Sonadanga Thana,167739,1.2,0.1,0.2,0.1,0.4,0.2,0.1
47,85,16,-9,-9,-9,  Ward No-16 Total,29213,0.9,0.1,0.1,0.0,0.4,0.2,0.1
47,85,17,-9,-9,-9,  Ward No-17 Total,33163,1.3,0.1,0.2,0.1,0.4,0.2,0.2
47,85,18,-9,-9,-9,  Ward No-18 Total,27896,0.8,0.1,0.1,0.0,0.3,0.2,0.1
47,85,19,-9,-9,-9,  Ward No-19 Total,18558,1.8,0.1,0.6,0.1,0.6,0.2,0.1
47,85,20,-9,-9,-9,  Ward No-20 Total,16624,1.4,0.2,0.5,0.1,0.4,0.2,0.1
47,85,25,-9,-9,-9,  Ward No-25 Total,21274,1.2,0.1,0.2,0.0,0.4,0.3,0.2
47,85,26,-9,-9,-9,  Ward No-26 Total,21011,1.1,0.1,0.2,0.1,0.4,0.2,0.1
47,94,-9,-9,-9,-9,Terokhada Upazila Total,116709,1.7,0.2,0.4,0.2,0.6,0.1,0.1
47,94,-9,-9,-9,1,  Terokhada Upazila,104732,1.8,0.2,0.5,0.2,0.6,0.2,0.1
47,94,-9,-9,-9,3,  Terokhada Upazila,11977,0.9,0.1,0.1,0.1,0.4,0.1,0.1
47,94,13,-9,-9,-9,  Ajugara Union Total,14709,2.0,0.1,0.4,0.3,0.9,0.2,0.1
47,94,27,-9,-9,-9,Barasat Union Total,22099,2.4,0.2,0.9,0.2,0.7,0.2,0.2
47,94,27,-9,-9,1,  Barasat Union,17061,2.8,0.3,1.1,0.3,0.8,0.2,0.2
47,94,27,-9,-9,3,  Barasat Union,5038,0.8,0.1,0.1,0.1,0.3,0.1,0.1
47,94,40,-9,-9,-9,  Madhupur Union Total,20254,1.8,0.2,0.4,0.3,0.7,0.1,0.1
47,94,54,-9,-9,-9,  Sachiadah Union Total,17596,1.2,0.2,0.3,0.1,0.5,0.1,0.0
47,94,67,-9,-9,-9,  Sagladah Union Total,20126,1.6,0.3,0.4,0.2,0.6,0.1,0.1
47,94,81,-9,-9,-9,Terokhada Union Total,21925,1.1,0.1,0.2,0.1,0.5,0.1,0.1
47,94,81,-9,-9,1,  Terokhada Union,14986,1.1,0.1,0.2,0.1,0.5,0.2,0.1
47,94,81,-9,-9,3,  Terokhada Union,6939,1.0,0.1,0.1,0.1,0.4,0.1,0.1
18,-9,-9,-9,-9,-9,Chuadanga Zila Total,1129015,1.7,0.2,0.3,0.2,0.7,0.2,0.1
18,-9,-9,-9,-9,1, Chuadanga Zila,822858,1.7,0.2,0.3,0.2,0.7,0.2,0.1
18,-9,-9,-9,-9,2, Chuadanga Zila,176748,1.7,0.2,0.4,0.2,0.7,0.2,0.1
18,-9,-9,-9,-9,3, Chuadanga Zila,129409,1.6,0.2,0.3,0.1,0.6,0.2,0.1
18,07,-9,-9,-9,-9,Alamdanga Upazila Total,345922,1.4,0.2,0.3,0.1,0.6,0.2,0.1
18,07,-9,-9,-9,1,  Alamdanga Upazila,267550,1.4,0.2,0.2,0.1,0.6,0.2,0.1
18,07,-9,-9,-9,2,  Alamdanga Upazila,32048,1.8,0.2,0.5,0.2,0.6,0.3,0.0
18,07,-9,-9,-9,3,  Alamdanga Upazila,46324,1.6,0.2,0.3,0.1,0.6,0.2,0.1
18,07,-9,-9,-9,-9,  Alamdanga Paurashava,32048,1.8,0.2,0.5,0.2,0.6,0.3,0.0
18,07,01,-9,-9,-9,  Ward No-01 Total,3971,1.5,0.2,0.2,0.3,0.7,0.2,0.0
18,07,02,-9,-9,-9,  Ward No-02 Total,4055,1.0,0.1,0.1,0.0,0.6,0.1,0.0
18,07,03,-9,-9,-9,  Ward No-03 Total,3049,1.4,0.0,0.2,0.2,0.6,0.3,0.0
18,07,04,-9,-9,-9,  Ward No-04 Total,4431,0.8,0.0,0.1,0.0,0.4,0.2,0.1
18,07,05,-9,-9,-9,  Ward No-05 Total,4027,1.9,0.1,0.6,0.2,0.6,0.4,0.0
18,07,06,-9,-9,-9,  Ward No-06 Total,3992,3.7,0.2,1.3,0.7,1.1,0.3,0.0
