DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children23M,OPV1_Children23M,PENTA1_Children23M,OPV2_Children23M,PENTA2_Children23M,OPV3_Children23M,PENTA3_Children23M,Measles_Children23M,Fully_Children23M,BCG_Children12M,OPV1_Children12M,PENTA1_Children12M,OPV2_Children12M,PENTA2_Children12M,OPV3_Children12M,PENTA3_Children12M,Measles_Children12M,Fully_Children12M,DropoutPENTA1-PENTA3_Male23M,DropoutPENTA1-PENTA3_Female23M,DropoutPENTA1-PENTA3_Children23M,DropoutPENTA1-Measles_Male23M,DropoutPENTA1-Measles_Female23M,DropoutPENTA1-Measles_Children23M,InvalidPENTA1_Infant12M,InvalidPENTA2_Infant12M,InvalidPENTA3_Infant12M,InvalidMeasles_Infant12M,Measles2ndDoseCrude,Measles2ndDose_Children18M,Measles2ndDose_Children23M,TT1_Mother0-11MChildren,TT2_Mother0-11MChildren,TT3_Mother0-11MChildren,TT4_Mother0-11MChildren,TT5_Mother0-11MChildren,TetanusAtBirth_Mother0-11MChildren,TT1_Woman18-49Y,TT2_Woman18-49Y,TT3_Woman18-49Y,TT4_Woman18-49Y,TT5_Woman18-49Y,Year
50,Kushtia ,40,Khulna,93,Kushtia,Kushtia,100.0,97.2,97.2,97.2,97.2,98.5,98.5,96.0,92.1,100.0,97.2,97.2,97.2,97.2,98.5,98.5,96.0,92.1,1.0,0.9,1.0,2.9,2.8,2.9,1.7,4.0,4.0,1.1,90.0,82.1,87.0,99.5,98.1,88.6,68.1,46.2,93.3,99.0,98.6,91.4,74.3,46.7,2015
51,Lakshmipur ,20,Chittagong,95,Lakshmipur,Lakshmipur,100.0,94.0,94.0,98.4,98.4,96.8,96.8,92.0,86.3,100.0,94.0,94.0,98.4,98.4,96.8,96.8,87.8,82.7,1.7,1.1,1.4,5.1,7.5,6.2,4.8,4.8,6.1,2.0,88.1,77.7,82.9,98.6,97.1,87.6,74.3,45.7,94.3,100.0,100.0,95.7,75.2,50.5,2015
52,Lalmonirhat ,55,Rangpur,96,Lalmonirhat,Lalmonirhat,100.0,90.5,90.5,94.1,94.1,96.3,96.3,95.7,89.6,100.0,90.5,90.5,94.1,94.1,96.3,96.3,89.0,83.5,0.0,0.0,0.5,0.0,0.9,0.5,5.3,7.4,7.5,4.2,84.3,78.7,80.4,98.1,95.7,85.2,67.1,39.0,92.4,99.5,98.6,80.0,60.0,38.6,2015
54,Madaripur ,30,Dhaka,95,Madaripur,Madaripur,99.0,95.1,95.1,92.3,92.3,92.2,92.2,93.7,89.0,99.0,95.1,95.1,91.7,91.7,91.6,91.6,88.3,83.6,3.6,2.1,2.9,3.6,3.1,3.4,0.7,2.7,3.4,2.2,84.3,64.0,75.3,98.1,96.7,82.4,66.2,48.6,86.2,90.0,87.6,74.8,61.4,43.8,2015
55,Magura ,40,Khulna,92,Magura,Magura,99.5,95.7,95.7,94.1,94.1,95.3,95.3,89.5,86.1,99.0,94.6,94.6,93.6,93.6,93.1,93.1,82.2,78.8,0.9,1.0,1.0,5.5,8.0,6.7,1.1,2.2,4.0,3.9,83.8,70.7,79.2,98.6,96.7,88.6,76.7,63.3,88.1,99.5,99.0,91.4,74.8,57.1,2015
56,Manikganj ,30,Dhaka,95,Manikganj,Manikganj,100.0,92.9,92.9,95.2,95.2,93.0,93.0,93.6,89.6,100.0,92.9,92.9,95.2,95.2,93.0,93.0,88.0,83.9,0.9,1.9,1.4,4.7,4.9,4.8,3.8,4.4,7.8,1.9,90.5,81.0,86.9,95.2,95.2,85.7,64.8,43.8,86.7,95.2,90.5,75.7,54.3,32.4,2015
57,Meherpur ,40,Khulna,94,Meherpur,Meherpur,100.0,92.6,92.6,95.8,95.8,93.4,93.4,92.6,88.2,100.0,92.6,92.6,95.8,95.8,93.4,93.4,89.9,85.4,2.6,2.1,2.4,5.2,6.4,5.7,4.3,4.3,4.9,1.8,88.6,81.9,84.9,98.6,95.7,81.9,64.8,40.0,92.4,96.7,91.9,66.7,41.4,26.7,2015
58,Maulvibazar ,60,Sylhet,83,Moulavibazar,Moulavibazar,97.6,91.3,91.3,93.2,93.2,91.8,91.8,85.2,82.5,97.6,91.3,91.3,92.6,92.6,91.3,91.3,84.1,81.5,2.9,5.0,3.9,5.8,8.0,6.9,3.9,4.5,4.6,5.4,85.2,77.9,81.3,97.6,97.1,92.4,77.6,64.8,90.5,97.1,95.7,88.6,75.7,57.1,2015
59,Munshiganj ,30,Dhaka,95,Munshiganj,Munshiganj,99.5,93.4,93.4,94.6,94.6,93.6,93.6,94.0,86.8,99.5,93.4,93.4,94.1,94.1,93.1,93.1,89.6,83.5,1.0,0.9,1.0,6.0,0.9,3.3,3.3,5.0,7.3,2.4,87.1,75.9,79.9,93.3,92.9,87.6,71.9,52.4,88.1,91.0,88.1,79.0,63.8,47.1,2015
61,Mymensingh ,30,Dhaka,95,Mymensingh,Mymensingh,99.5,93.4,93.4,94.5,94.5,92.6,92.6,93.8,87.4,99.5,93.4,93.4,94.5,94.5,92.0,92.0,91.1,84.3,2.0,2.8,2.4,3.0,6.5,4.8,3.1,4.7,6.4,0.6,88.1,80.4,85.1,98.1,96.7,88.1,71.4,49.5,90.0,97.6,94.3,82.4,68.6,46.2,2015
