DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children12M,DPT1_Children12M,DPT2_Children12M,DPT3_Children12M,OPV1_Children12M,OPV2_Children12M,OPV3_Children12M,Measles_Children12M,Fully_Children12M,TT1_Woman15-49Y,TT2_Woman15-49Y,TT3_Woman15-49Y,TT4_Woman15-49Y,TT5_Woman15-49Y,TT1_Woman18-25Y,TT2_Woman18-25Y,TT3_Woman18-25Y,TT4_Woman18-25Y,TT5_Woman18-25Y,MeaslesCoverage_Children9M-9Y,OPVCoverage_1stRound_Children59M,OPVCoverage_2stRound_Children59M,OPVCoverage_3stRound_Children59M,OPVCoverage_All_Children59M,VitACoverage_PostPartum,VitACoverage_Children12-59M,VitACoverage_Infants9-11M,AnthelminticCoverage_Children24-59M,Year
59,Munshiganj ,30,Dhaka,95,Munshiganj,Munshiganj,100.0,97.5,98.7,83.7,99.2,98.7,97.6,72.4,61.6,99.5,98.1,83.8,55.2,26.2,93.8,90.5,79.0,47.1,27.1,92.4,98.6,98.6,98.1,97.1,35.2,97.5,69.2,96.2,2006
61,Mymensingh ,30,Dhaka,95,Mymensingh,Mymensingh,98.6,97.0,96.8,85.2,97.0,97.6,90.0,76.4,75.5,96.2,93.8,65.2,34.8,16.7,91.9,87.1,61.0,22.9,9.5,74.8,92.9,93.3,92.4,86.7,15.2,84.5,75.2,79.1,2006
64,Naogaon ,50,Rajshahi,93,Naogaon,Naogaon,99.0,99.0,97.1,91.2,99.0,97.1,95.1,83.7,81.6,99.5,98.1,84.3,52.4,21.4,93.3,90.5,69.5,45.2,20.0,90.0,96.2,96.2,95.7,91.0,26.2,92.3,77.0,85.0,2006
65,Narail ,40,Khulna,92,Narail,Narail,99.0,96.6,94.2,86.7,96.6,95.0,92.8,84.0,77.3,97.1,95.7,79.5,40.5,19.5,89.0,85.7,64.3,33.3,13.8,93.8,100.0,100.0,100.0,100.0,12.9,97.5,97.5,94.9,2006
67,Narayanganj ,30,Dhaka,96,Narayanganj,Narayanganj,98.1,98.1,96.7,85.2,98.1,96.7,94.8,81.9,74.2,96.7,93.3,69.0,32.9,11.9,95.2,91.0,66.2,35.7,16.2,88.6,93.3,91.0,92.9,80.5,15.7,89.2,79.6,84.0,2006
68,Narsingdi ,30,Dhaka,95,Narsingdi,Narsingdi,97.1,96.2,95.2,84.7,96.2,95.2,91.4,73.8,70.5,96.7,94.3,77.1,44.8,21.4,91.9,86.2,59.5,31.4,11.9,76.7,98.1,95.2,97.1,93.8,25.2,95.9,61.0,94.5,2006
72,Netrakona ,30,Dhaka,56,National,National,98.3,97.1,95.2,83.6,97.1,95.5,92.0,77.9,71.0,96.2,93.7,72.4,41.1,18.9,90.3,85.4,62.4,33.5,14.8,87.0,97.0,96.0,96.0,93.0,29.0,93.0,73.0,88.0,2006
69,Natore ,50,Rajshahi,92,Natore,Natore,98.6,97.0,95.6,79.3,97.0,95.6,94.7,77.9,64.8,97.1,93.8,68.1,35.2,21.9,95.7,92.4,66.2,41.0,21.0,88.6,100.0,97.6,98.1,96.7,16.2,96.5,74.4,90.2,2006
72,Netrakona ,30,Dhaka,84,Netrokona,Netrokona,97.6,96.1,91.3,81.4,96.1,92.4,90.3,64.7,60.6,96.7,94.8,80.5,49.0,27.6,97.6,94.3,71.9,35.2,12.4,94.3,99.5,100.0,100.0,99.5,2.4,99.5,62.3,98.7,2006
73,Nilphamari ,55,Rangpur,95,Nilphamari,Nilphamari,99.0,96.3,95.7,82.9,96.3,95.7,91.4,69.8,63.7,97.1,94.3,73.3,37.1,13.3,86.7,82.4,59.5,26.7,7.6,86.7,99.5,99.5,98.6,98.1,26.7,95.9,56.0,,2006
