thana_Name,Shukhi,Apon,Pill_total,Condom,Inj_vial,Inj_siringe,IUD_normal,IUD_partum,IUD_total,IUD_remove,Imp_normal,Imp_Jadel,Imp_total,implant_remove,ecp,misoprostol,mrm_pack,inj_mgs4,mnp_saset,ifa_number,sanitary_pad,per_male,femalenormal,femalepn,female_total,Permanent_method,Year,Month,District,Division,program
Rayganj,3147990,12167,3160157,2363046,342449,160712,6870,36,6906,48,3228,0,3228,115,5000,17683,0,0,0,0,59,1023,1231,28,1261,2284,2018,12,0116,01,distributionGO_thanaconsuprocess
Tarash,2457124,8094,2465218,1929604,181493,74512,5335,140,5475,436,3475,92,3567,452,4105,17788,0,0,0,0,47,1568,1356,255,1611,3179,2018,12,0116,01,distributionGO_thanaconsuprocess
Sirajganj Sadar,3959347,10313,3969660,5382869,701720,336177,7209,99,7308,628,4867,2,4869,966,5950,4325,9,0,0,24696,152,1846,1625,662,2287,4133,2018,12,0116,01,distributionGO_thanaconsuprocess
Kamarkhand,1254007,6303,1260310,1102036,164741,87167,2446,0,2446,760,2819,100,2919,968,1334,10284,1,0,0,0,29,463,261,293,554,1017,2018,12,0116,01,distributionGO_thanaconsuprocess
Chouhali,1228706,3753,1232459,1832250,147680,71402,3985,66,4051,199,2176,73,2249,132,1507,4677,14,0,0,94817,26,479,1307,38,1336,1815,2018,12,0116,01,distributionGO_thanaconsuprocess
Ullahpara,6318405,18485,6336890,7038518,736558,383048,9874,17,9891,1019,6157,14,6171,1190,5838,23899,2,16,27,0,26,2034,1964,3,1967,4001,2018,12,0116,01,distributionGO_thanaconsuprocess
Belkuchi,3461244,8862,3470106,5440246,301886,157755,4060,62,4122,240,2342,6,2348,386,2944,18585,12,2,0,0,62,1108,590,399,989,2097,2018,12,0116,01,distributionGO_thanaconsuprocess
Shazadpur,4927404,16557,4943961,6955384,1009152,565607,17268,23,17291,2261,5259,0,5259,52,3391,22348,0,0,0,20,430,1400,1244,20,1263,2663,2018,12,0116,01,distributionGO_thanaconsuprocess
Jhikarghachha,2089978,9164,2099142,2728699,420987,195803,9602,49,9651,938,6739,116,6855,2160,3469,5027,91,0,0,0,10,2849,2852,694,3543,6392,2018,12,0207,02,distributionGO_thanaconsuprocess
Jessore Sadar,5967570,14096,5981666,9603212,1039924,592486,12760,256,13016,1057,16346,203,16549,2634,6368,5165,300,0,0,0,35,10177,6339,1519,7890,18067,2018,12,0207,02,distributionGO_thanaconsuprocess
Sarsa,2920272,5436,2925708,4626665,611031,296404,6717,0,6717,1396,6800,92,6892,2216,4089,4979,9,0,0,0,2,1622,1566,1503,3066,4688,2018,12,0207,02,distributionGO_thanaconsuprocess
Keshobpur,1708116,7481,1715597,1923150,368337,181302,4720,0,4720,288,6990,6,6996,660,2273,3219,78,10,2,5156,2382,1296,1540,1140,2667,3963,2018,12,0207,02,distributionGO_thanaconsuprocess
Bagherpara,1907680,6820,1914500,3538065,259638,153381,7598,37,7635,1168,8995,96,9091,2064,1955,4023,66,2,0,90480,22,821,1819,581,2400,3221,2018,12,0207,02,distributionGO_thanaconsuprocess
Monirampur,3815173,7962,3823135,4178234,965962,495592,16949,69,17018,2966,9616,13,9629,2938,5659,4583,242,63,0,0,89,3166,2600,27,2629,5795,2018,12,0207,02,distributionGO_thanaconsuprocess
Abhaynagar,1626450,7311,1633761,2652546,415475,213013,5889,9,5898,149,5771,216,5987,828,2746,3450,70,0,0,0,0,1862,2610,190,2781,4643,2018,12,0207,02,distributionGO_thanaconsuprocess
Chowgachha,1815577,9031,1824608,2703112,263406,128178,3299,165,3464,815,5888,99,5987,2256,4128,6599,18,0,0,538232,122,1396,2081,209,2290,3686,2018,12,0207,02,distributionGO_thanaconsuprocess
Senbag,1237071,10303,1247374,2310908,212982,108879,3971,38,4009,324,2338,320,2658,462,3340,26540,110,0,0,109,31,517,1548,427,1966,2483,2018,12,0505,05,distributionGO_thanaconsuprocess
Begumganj,2282491,21006,2303497,3569320,401542,183863,11281,900,12181,464,4533,300,4833,680,6086,43889,0,0,0,0,59,364,3532,1259,4791,5155,2018,12,0505,05,distributionGO_thanaconsuprocess
Companiganj,1284567,6442,1291009,2097884,246120,119508,3706,216,3922,252,1871,139,2010,556,2873,10724,0,0,0,0,0,944,1254,199,1453,2397,2018,12,0505,05,distributionGO_thanaconsuprocess
Sudharam (Sadar),2595119,14160,2609279,4995895,579000,295168,8548,67,8615,565,7688,0,7688,1746,4176,15766,31,32,0,0,0,3020,5367,1892,7207,10227,2018,12,0505,05,distributionGO_thanaconsuprocess
Hatiya,1993360,12728,2006088,2152258,385519,210320,3856,93,3949,361,4727,1091,5818,649,3523,19563,0,0,0,0,57,2139,414,109,523,2662,2018,12,0505,05,distributionGO_thanaconsuprocess
Chatkhil,767828,6915,774743,786811,132008,68932,2991,6,2997,166,2679,0,2679,465,3140,10262,0,0,0,0,64,250,1914,935,2847,3097,2018,12,0505,05,distributionGO_thanaconsuprocess
Subarna Char,1235762,17038,1252800,2266439,225406,112469,2344,17,2361,87,3173,91,3264,155,826,12738,77,0,0,0,0,529,959,12,970,1499,2018,12,0505,05,distributionGO_thanaconsuprocess
Sonaimuri,1074219,9496,1083715,1441476,225599,123703,3129,88,3217,222,1797,357,2154,257,3384,16061,32,0,0,0,153,122,2459,153,2612,2734,2018,12,0505,05,distributionGO_thanaconsuprocess
