thana_Name,Shukhi,Apon,Condom,Inj_Vial,Inj_Siringe,IUD_Normal,IUD_Partum,IUD_Remove,Implanon,Jadel,Implant_Remove,ECP,Misoprostol,MRM_Pack,Inj_mgs4,MNP_Saset,IFA_number,Sanitary_Pad,NSV,Tubectomy_Normal,Tubectomy_Partum,Year,Month,District,Division,program
Gournadi,29241,0,16237,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,2,5,0,2018,12,0303,03,distributionNGO_thanaconsuprocess
Agailjhara,47409,0,46026,236,0,3,0,0,20,0,0,101,0,0,0,0,0,0,13,136,9,2018,12,0303,03,distributionNGO_thanaconsuprocess
Shibganj,0,0,500,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,12,0112,01,distributionNGO_thanaconsuprocess
Chapai Nawabganj (Sadar),286366,188,1238335,57515,36406,475,0,0,70,64,0,323,108,0,0,0,0,0,118,36,7,2018,12,0112,01,distributionNGO_thanaconsuprocess
Daulatpur,178957,94,677519,68529,22181,113,0,1,213,0,0,83,0,0,0,0,0,0,1,208,53,2018,12,0201,02,distributionNGO_thanaconsuprocess
Kushtia Sadar,876145,560,1253868,115977,66788,1087,0,118,3653,67,866,3849,0,0,0,0,0,0,1225,615,475,2018,12,0201,02,distributionNGO_thanaconsuprocess
Kumarkhali,501553,98,1768275,191788,91534,319,2,2,195,0,0,1246,12,0,0,0,0,0,104,276,4,2018,12,0201,02,distributionNGO_thanaconsuprocess
Bheramara,380014,38,961876,49475,33051,206,0,16,144,0,12,340,110,0,0,0,0,193,1,386,102,2018,12,0201,02,distributionNGO_thanaconsuprocess
Mirpur,159978,0,264230,8127,4902,48,0,0,30,0,0,0,0,0,0,0,0,0,7,83,3,2018,12,0201,02,distributionNGO_thanaconsuprocess
Khoksa,40318,0,74546,673,0,39,0,0,5,0,0,159,0,0,0,0,0,0,13,3,0,2018,12,0201,02,distributionNGO_thanaconsuprocess
Khetlal,8724,0,7516,750,0,4,0,0,1,0,0,1,0,0,0,0,0,0,14,4,0,2018,12,0110,01,distributionNGO_thanaconsuprocess
Panchbibi,790915,575,868929,76974,21474,1449,0,166,1629,0,550,620,169,0,0,0,0,0,237,113,0,2018,12,0110,01,distributionNGO_thanaconsuprocess
Joypurhat Sadar,459552,4620,1410417,106630,71533,2784,23,65,3619,128,647,87,98,0,0,0,0,0,11207,1203,381,2018,12,0110,01,distributionNGO_thanaconsuprocess
Kalai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1,0,2018,12,0110,01,distributionNGO_thanaconsuprocess
Amtali,123779,0,138072,0,0,17,0,4,189,1,0,334,0,0,0,0,0,0,18,5,0,2018,12,0301,03,distributionNGO_thanaconsuprocess
Barguna Sadar,101303,131,359832,61551,37803,2717,0,43,1988,144,20,132,439,0,0,0,0,0,9,0,0,2018,12,0301,03,distributionNGO_thanaconsuprocess
