
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
      0489   61    52     12      2     216           946
      0490   61    52     17      2     254          1186
      0491   61    52     19      2     189           811
      0492   61    65     05      2     194           960
      0493   61    72     07      2     217          1070
      0494   72    18     03      2     161           737
      0495   72    47     06      2     194           954
      0496   72    74     01      2     227          1080
      0497   72    74     06      2     240          1290
      0498   93    19     02      2     266          1127
      0499   93    38     02      2     237           959
      0500   93    47     03      2     192           674
      0501   93    57     08      2     221           961
      0502   93    57     19      2     241          1048
      0503   93    95     04      2     222          1077
      0504   93    95     12      2     236          1100
      0505   26    04     17      2     150           588
      0506   26    08     15      2     195           809
      0507   26    12     84      2     217           903
      0508   26    16     52      2     194           796
      0509   26    28     58      2     208           980
      0510   26    34     51      2     258          1135
      0511   26    36     24      2     163           739
      0512   26    38     43      2     219          1006
      0513   26    38     94      2     195           943
      0514   26    42     60      2     163           769
      0515   26    48     09      2     208           886
      0516   26    48     13      2     252          1101
      0517   26    50     44      2     186           861
      0518   26    54     35      2     225          1021
      0519   26    64     05      2     199           817
      0520   26    66     56      2     187           899
      0521   26    68     80      2     180           770
      0522   26    72     39      2     221           937
      0523   26    76     83      2     197           818
      0524   26    76     95      2     191           856
      0525   26    90     37      2     186           806
      0526   26    95     38      2     159           780
      0527   33    30     04      2     257          1055
      0528   33    30     12      2     263          1154
      0529   33    30     16      2     198           737
      0530   33    30     19      2     239           933
     Distribution of Population by PSUs,2002
     PSU_NO ZILA  THANA  UNION   RMO   TOT_HH   TOTAL POP
     -----  ----  -----  -----   ---   ------    ---------
      0531   33    30     22      2     206           945
      0532   33    30     25      2     184           909
      0533   33    30     47      2     266           861
      0534   33    30     54      2     233           937
      0535   33    30     67      2     215           933
      0536   33    30     81      2     268          1217
      0537   67    06     02      2     224           972
      0538   67    06     15      2     235          1067
      0539   67    06     79      2     223          1012
      0540   67    58     04      2     190           846
      0541   67    58     07      2     223          1165
      0542   67    58     31      2     161           708
      0543   67    58     37      2     184           847
      0544   67    58     45      2     210           849
      0545   67    58     63      2     221           980
      0546   67    58     79      2     172           760
      0547   67    58     85      2     197           883
      0548   67    58     90      2     174           731
      0549   41    04     42      1     216          1041
      0550   41    09     38      1     194           879
      0551   41    11     43      1     233          1026
      0552   41    23     35      1     233           980
      0553   41    23     83      1     224           928
      0554   41    38     57      1     250           996
      0555   41    47     29      1     246          1080
      0556   41    47     65      1     237          1095
      0557   41    61     10      1     242          1098
      0558   41    61     50      1     244          1105
